session_title,slug,session_id,begins_at,ends_at,place,vimeo_event_id,vimeo_video_id,caption_label,vtt_chars,text_chars,status,crawled_at
Cancer Metabolism as a Therapeutic Frontier,cancer-metabolism-as-a-therapeutic-frontier,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Ballroom 6 B,5841828,1179383878,English (auto-generated),138487,84110,ok,2026-06-11T04:53:53.786598Z
Cancer Predisposition Syndromes,cancer-predisposition-syndromes,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Room 5,5841977,1179385124,English (auto-generated),124719,74410,ok,2026-06-11T04:54:02.268529Z
Cancer Prevention and Screening: Exploring Policy Solutions,cancer-prevention-and-screening-exploring-policy-solutions,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Room 1,5842029,1179385450,English (auto-generated),148285,86208,ok,2026-06-11T04:54:10.070045Z
Cancer Vaccines: The Next Immunotherapy Breakthrough?,cancer-vaccines-the-next-immunotherapy-breakthrough,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Ballroom 6 A,5841814,1179383857,English (auto-generated),158462,96843,ok,2026-06-11T04:54:17.138900Z
"Chemistry to the Clinic Part 3 of 4: Novel Modalities, Targets, and Mechanisms in Drugging Oncogenic Pathways",chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Ballroom 20 CD,5841797,1179383834,English (auto-generated),114480,66835,ok,2026-06-11T04:54:25.232321Z
Claudin-Targeted Therapies: From Tight Junction Biology to Next-Generation Precision Oncology,claudin-targeted-therapies-from-tight-junction-biology-to-next-generation-precis,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Room 31,5841905,1179384562,English (auto-generated),116052,65775,ok,2026-06-11T04:54:32.896117Z
Clinical and Molecular Phenotyping of Cancer Cachexia,clinical-and-molecular-phenotyping-of-cancer-cachexia,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Room 15,5841980,1179385149,English (auto-generated),111444,65419,ok,2026-06-11T04:54:39.400129Z
Code Meets Cure: Navigating the Regulatory Landscape of AI in Oncology Drug Development,code-meets-cure-navigating-the-regulatory-landscape-of-ai-in-oncology-drug-devel,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Room 1,5841889,1179384414,English (auto-generated),146101,87728,ok,2026-06-11T04:54:46.305046Z
Dharma Master Jiantai Symposium in Biomarkers: Next-Gen Tools for ADCs—Defining Biomarkers of Response through Technological Innovation,dharma-master-jiantai-symposium-in-biomarkers-next-gen-tools-for-adcsdefining-bi,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Hall H,5841869,1179383960,English (auto-generated),126248,75543,ok,2026-06-11T04:54:52.839166Z
Dharma Master Jiantai Symposium in Targeted Therapy: Immunotherapy and DNA Repair,dharma-master-jiantai-symposium-in-targeted-therapy-immunotherapy-and-dna-repair,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Ballroom 6 B,5841834,1179383888,English (auto-generated),128680,76806,ok,2026-06-11T04:54:59.821794Z
Dissecting Hematologic Malignancies at Single-Cell Resolution: Cutting-Edge Advances in Spatial Omics,dissecting-hematologic-malignancies-at-single-cell-resolution-cutting-edge-advan,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Ballroom 6 DE,5841862,1179383947,English (auto-generated),118864,67289,ok,2026-06-11T04:55:07.198838Z
Does Adherence to Oral Cancer Therapy Matter?,does-adherence-to-oral-cancer-therapy-matter,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Room 11,5841932,1179384787,English (auto-generated),112720,67019,ok,2026-06-11T04:55:14.558079Z
El Camino de la Pediatría: Finding Our Way Through the Chasm of Pediatric Oncology Drug Development,el-camino-de-la-pediatría-finding-our-way-through-the-chasm-of-pediatric-oncolog,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Room 33,5841993,1179385178,English (auto-generated),149022,91909,ok,2026-06-11T04:55:21.619334Z
Fibroblast Dynamics: How Heterogeneity Shapes the Tumor Microenvironment,fibroblast-dynamics-how-heterogeneity-shapes-the-tumor-microenvironment,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Room 29,5841894,1179384443,English (auto-generated),139662,83377,ok,2026-06-11T04:55:32.152932Z
FLAIMME: A National Federated Learning Consortium Advancing Privacy-Preserving Oncology AI Through Foundation Model Adaptation,flaimme-a-national-federated-learning-consortium-advancing-privacy-preserving-on,,2026-04-21T12:30:00-07:00,2026-04-21T13:30:00-07:00,Room 2,5841968,1179385090,English (auto-generated),84080,49179,ok,2026-06-11T04:55:38.594578Z
From Risk Awareness to Informed Action: Advancing Cancer Communication Across Prevention and Genomic Care,from-risk-awareness-to-informed-action-advancing-cancer-communication-across-pre,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Room 11,5842023,1179385377,English (auto-generated),130293,76409,ok,2026-06-11T04:55:44.874207Z
Glues and Heterobifunctionals as Novel Therapeutics,glues-and-heterobifunctionals-as-novel-therapeutics,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Ballroom 6 CF,5841849,1179383916,English (auto-generated),141579,86086,ok,2026-06-11T04:55:52.046223Z
Hematological Malignancies: Undruggable Targets and New Frontiers,hematological-malignancies-undruggable-targets-and-new-frontiers,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Room 30,5841912,1179384628,English (auto-generated),120781,69356,ok,2026-06-11T04:55:59.355984Z
Human Cancer Models: From Patient-Derived Systems to Clinical Translation,human-cancer-models-from-patient-derived-systems-to-clinical-translation,,2026-04-19T12:00:00-07:00,2026-04-19T13:30:00-07:00,Ballroom 6 B,5841832,1179383884,English (auto-generated),135752,79625,ok,2026-06-11T04:56:06.386544Z
Immune and Stromal Reprogramming Across the Tumor Micro- and Macroenvironment,immune-and-stromal-reprogramming-across-the-tumor-micro-and-macroenvironment,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Ballroom 6 CF,5841847,1179383911,English (auto-generated),125460,74143,ok,2026-06-11T04:56:14.920817Z
Inflammaging and Cancer: Mechanistic Insights and Therapeutic Opportunities,inflammaging-and-cancer-mechanistic-insights-and-therapeutic-opportunities,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Room 14,5841964,1179385084,English (auto-generated),159694,96306,ok,2026-06-11T04:56:21.472091Z
Metabolic Reprogramming in Metastasis: Nucleotide Pathways as Drivers and Therapeutic Targets,metabolic-reprogramming-in-metastasis-nucleotide-pathways-as-drivers-and-therape,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Room 14,5842039,1179385549,English (auto-generated),137391,80987,ok,2026-06-11T04:56:28.398988Z
Microbiota-Host Interactions in Colorectal Cancer Development and Therapy,microbiota-host-interactions-in-colorectal-cancer-development-and-therapy,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Room 29,5841937,1179384825,English (auto-generated),145744,86825,ok,2026-06-11T04:56:35.766984Z
Modernizing Clinical Trial Communication: NCI's AI-Enabled Toolkit for Research Protocols and Participant Materials,modernizing-clinical-trial-communication-ncis-ai-enabled-toolkit-for-research-pr,,2026-04-20T12:30:00-07:00,2026-04-20T13:30:00-07:00,Room 2,5841929,1179384784,English (auto-generated),85150,47574,ok,2026-06-11T04:56:42.504350Z
Multi-kingdom Microbial Determinants of Cancer,multi-kingdom-microbial-determinants-of-cancer,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Room 30,5841994,1179385192,English (auto-generated),119217,72436,ok,2026-06-11T04:56:48.858617Z
Multi-modal Platforms for Early Cancer Detection,multi-modal-platforms-for-early-cancer-detection,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Ballroom 6 CF,5841841,1179383901,English (auto-generated),148550,91005,ok,2026-06-11T04:56:55.296274Z
New Insights from TCGA Whole-Genome Sequencing,new-insights-from-tcga-whole-genome-sequencing,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Room 33,5841928,1179384763,English (auto-generated),150231,90263,ok,2026-06-11T04:57:03.673077Z
Non-invasive Early Detection of Single-Site Cancers,non-invasive-early-detection-of-single-site-cancers,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Ballroom 20 CD,5841804,1179383842,English (auto-generated),129940,77634,ok,2026-06-11T04:57:10.880834Z
Off-the-Shelf Cell Therapies for Cancer and Beyond,off-the-shelf-cell-therapies-for-cancer-and-beyond,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Room 28,5841990,1179385172,English (auto-generated),122651,67370,ok,2026-06-11T04:57:18.148208Z
Pezcoller Foundation-AACR International Award for Extraordinary Achievement in Cancer Research,pezcoller-foundation-aacr-international-award-for-extraordinary-achievement-in-c,,2026-04-19T12:00:00-07:00,2026-04-19T12:45:00-07:00,Ballroom 20 CD,5845346,1179908176,English (auto-generated),62421,35956,ok,2026-06-11T04:57:25.629531Z
Population Sciences for Hematological Malignancies,population-sciences-for-hematological-malignancies,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Room 17,5842032,1179385488,English (auto-generated),134048,79563,ok,2026-06-11T04:57:32.155636Z
Programmed Cell Death: Mechanisms and Therapeutic Opportunities,programmed-cell-death-mechanisms-and-therapeutic-opportunities,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Room 31,5841996,1179385195,English (auto-generated),139788,82999,ok,2026-06-11T04:57:39.984409Z
Prostate Cancer: Basic to Clinical Advances,prostate-cancer-basic-to-clinical-advances,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Room 28,5841962,1179385061,English (auto-generated),135574,80045,ok,2026-06-11T04:57:48.949660Z
"RAS Inhibitors, Mechanisms of Resistance, and Drug Combinations",ras-inhibitors-mechanisms-of-resistance-and-drug-combinations,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Ballroom 20 AB,5841788,1179383821,English (auto-generated),131792,75734,ok,2026-06-11T04:57:56.038977Z
Resistance to Antibody Drug Conjugates,resistance-to-antibody-drug-conjugates,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Ballroom 20 AB,5841791,1179383825,English (auto-generated),137621,82632,ok,2026-06-11T04:58:05.878633Z
RNA Biology in Cancer: Dedicated to the Memory of David Baltimore,rna-biology-in-cancer-dedicated-to-the-memory-of-david-baltimore,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Room 29,5842040,1179385569,English (auto-generated),115460,67092,ok,2026-06-11T04:58:12.998143Z
Signaling Pathways in Cancer: Dedicated to the Memory of J. Michael Bishop,signaling-pathways-in-cancer-dedicated-to-the-memory-of-j-michael-bishop,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Room 30,5841992,1179385177,English (auto-generated),133664,78993,ok,2026-06-11T04:58:20.265991Z
Stand Up To Cancer Scientific Session: Strategies Towards Overcoming Cancer Health Disparities,stand-up-to-cancer-scientific-session-strategies-towards-overcoming-cancer-healt,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Room 15,5841951,1179384967,English (auto-generated),132512,77002,ok,2026-06-11T04:58:28.035398Z
Stress Across Scales in Cancer: From Societal Burden to Microenvironmental and Cellular Mechanisms,stress-across-scales-in-cancer-from-societal-burden-to-microenvironmental-and-ce,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Room 16,5841935,1179384818,English (auto-generated),128484,75747,ok,2026-06-11T04:58:35.092215Z
The Epitranscriptome in Cancer: Modifying RNA to Shape the Future of Oncology,the-epitranscriptome-in-cancer-modifying-rna-to-shape-the-future-of-oncology,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Ballroom 6 B,5841824,1179383872,English (auto-generated),102173,58740,ok,2026-06-11T04:58:41.894596Z
Turning the Tide in the Fight Against Pancreatic Cancer,turning-the-tide-in-the-fight-against-pancreatic-cancer,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Ballroom 6 A,5841827,1179383877,English (auto-generated),130788,79651,ok,2026-06-11T04:58:49.020485Z
Using AI and Spatial Transcriptomics Data to Predict Spatial Gene Expression from Histopathology Slides,using-ai-and-spatial-transcriptomics-data-to-predict-spatial-gene-expression-fro,,2026-04-20T12:30:00-07:00,2026-04-20T14:00:00-07:00,Ballroom 6 DE,5841858,1179383939,English (auto-generated),127492,74339,ok,2026-06-11T04:58:55.523703Z
"Where Expedited Pathways, Innovation, Safety, and Patient Access Collide: A KRAS Case Study",where-expedited-pathways-innovation-safety-and-patient-access-collide-a-kras-cas,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Room 1,5841876,1179383974,English (auto-generated),136955,80130,ok,2026-06-11T04:59:02.391675Z
Advances in Bladder Cancer Research and Treatment: Pathways to Precision Medicine,advances-in-bladder-cancer-research-and-treatment-pathways-to-precision-medicine,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 11,5841973,1179385122,English (auto-generated),135536,79894,ok,2026-06-11T04:59:09.918698Z
Advances in the Use of Geospatial and Neighborhood Data for Cancer Population Sciences Research and Translation,advances-in-the-use-of-geospatial-and-neighborhood-data-for-cancer-population-sc,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 17,5841989,1179385173,English (auto-generated),141042,86845,ok,2026-06-11T04:59:16.473281Z
Advances in Understanding Disseminated Tumor Cells: An Emerging Opportunity to Prevent Lethal Breast Cancer?,advances-in-understanding-disseminated-tumor-cells-an-emerging-opportunity-to-pr,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 31,5841883,1179384362,English (auto-generated),127112,73563,ok,2026-06-11T04:59:23.749259Z
Approaches to Drug Development for Rare Malignancies,approaches-to-drug-development-for-rare-malignancies,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 1,5842025,1179385389,English (auto-generated),139410,83690,ok,2026-06-11T04:59:30.382105Z
"Beyond Chromosomes: Mechanisms, Consequences, and Therapeutic Opportunities of Extrachromosomal DNA (ecDNA)",beyond-chromosomes-mechanisms-consequences-and-therapeutic-opportunities-of-extr,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Ballroom 20 AB,5841785,1184588868,English (auto-generated),135302,82473,ok,2026-06-11T04:59:37.462477Z
"Early-Onset Cancers: Interventions, Survivorship, and Novel Treatment Approaches",early-onset-cancers-interventions-survivorship-and-novel-treatment-approaches,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Ballroom 6 DE,5841853,1179383926,English (auto-generated),132991,83042,ok,2026-06-11T04:59:44.952950Z
Epigenetics in Hematologic Malignancies,epigenetics-in-hematologic-malignancies,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 28,5841901,1179384508,English (auto-generated),109350,65161,ok,2026-06-11T04:59:52.296149Z
"Gastric/Gastroesophageal Cancer Dynamics: Pre-Cancer Evolution, Metastasis, Microenvironment, and Therapeutic Breakthroughs",gastricgastroesophageal-cancer-dynamics-pre-cancer-evolution-metastasis-microenv,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 33,5842007,1179385266,English (auto-generated),126859,70106,ok,2026-06-11T04:59:59.390375Z
Mechanisms of Immune Evasion and Immune Dysregulation,mechanisms-of-immune-evasion-and-immune-dysregulation,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Ballroom 6 CF,5841843,1179383907,English (auto-generated),131569,79227,ok,2026-06-11T05:00:08.975046Z
NCI Opportunities to Support Early Career Cancer Researchers and Research Specialists,nci-opportunities-to-support-early-career-cancer-researchers-and-research-specia,,2026-04-19T13:00:00-07:00,2026-04-19T14:00:00-07:00,Room 2,5841902,1179384528,English (auto-generated),98316,56431,ok,2026-06-11T05:00:17.592832Z
Neural-Immune Crosstalk in Cancer,neural-immune-crosstalk-in-cancer,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 15,5841960,1179385056,English (auto-generated),120753,67153,ok,2026-06-11T05:00:25.399782Z
New Drugs on the Horizon: Part 1,new-drugs-on-the-horizon-part-1,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Ballroom 20 CD,5841802,1179383840,English (auto-generated),129644,77067,ok,2026-06-11T05:00:33.494243Z
New Frontiers in Precision Oncology,new-frontiers-in-precision-oncology,,2026-04-19T13:00:00-07:00,2026-04-19T15:00:00-07:00,Hall H,5841867,1179383957,English (auto-generated),168976,97211,ok,2026-06-11T05:00:39.925481Z
Precision Screening: Opportunities to Enhance the Benefits of Cancer Screening,precision-screening-opportunities-to-enhance-the-benefits-of-cancer-screening,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 5,5841890,1179384417,English (auto-generated),126455,72114,ok,2026-06-11T05:00:52.053858Z
Shaping the Future of AI: The Role of Pathology in the Development of Foundational Models,shaping-the-future-of-ai-the-role-of-pathology-in-the-development-of-foundationa,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Ballroom 6 A,5841811,1179383855,English (auto-generated),142156,85727,ok,2026-06-11T05:00:58.875334Z
Spatial and Single-Cell Omics at Scale: Technologies for Decoding Cancer Ecosystems,spatial-and-single-cell-omics-at-scale-technologies-for-decoding-cancer-ecosyste,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 30,5841882,1179384300,English (auto-generated),135173,80137,ok,2026-06-11T05:01:05.268523Z
Synthetic Biology Approaches to Cancer and Immune Cell Therapy,synthetic-biology-approaches-to-cancer-and-immune-cell-therapy,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 29,5841888,1179384413,English (auto-generated),132525,77460,ok,2026-06-11T05:01:12.641442Z
The Necrotic Tumor Microenvironment as an Instigator of Metastatic Aggression and Immuno-evasion,the-necrotic-tumor-microenvironment-as-an-instigator-of-metastatic-aggression-an,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 14,5841958,1179385032,English (auto-generated),129633,78341,ok,2026-06-11T05:01:19.953045Z
Therapy-Induced Mutagenesis in Normal Tissues of Children: A Link to Late Effects?,therapy-induced-mutagenesis-in-normal-tissues-of-children-a-link-to-late-effects,,2026-04-19T13:00:00-07:00,2026-04-19T14:30:00-07:00,Room 16,5841892,1179384422,English (auto-generated),131459,77215,ok,2026-06-11T05:01:28.552849Z
AACR-JCA Joint Session: Lung Cancer in Never-Smokers,aacr-jca-joint-session-lung-cancer-in-never-smokers,,2026-04-20T14:30:00-07:00,2026-04-20T16:30:00-07:00,Ballroom 6 DE,5841859,1179383942,English (auto-generated),168838,93725,ok,2026-06-11T05:01:35.600187Z
Adoptive T Cell Therapy,adoptive-t-cell-therapy,,2026-04-20T14:30:00-07:00,2026-04-20T16:30:00-07:00,Ballroom 20 AB,5841790,1179383824,English (auto-generated),157952,89751,ok,2026-06-11T05:01:43.175652Z
Advances in Precision Oncology,advances-in-precision-oncology,,2026-04-21T14:30:00-07:00,2026-04-21T16:30:00-07:00,Hall H,5841873,1179383968,English (auto-generated),166031,90653,ok,2026-06-11T05:01:50.391266Z
Advances in Therapeutic Antibodies,advances-in-therapeutic-antibodies,,2026-04-20T14:30:00-07:00,2026-04-20T16:30:00-07:00,Ballroom 20 CD,5841812,1179383854,English (auto-generated),167058,100081,ok,2026-06-11T05:01:57.339347Z
Advancing Cancer Research Through an International Cancer Registry: AACR Project GENIE® Use Cases,advancing-cancer-research-through-an-international-cancer-registry-aacr-project-,,2026-04-20T14:30:00-07:00,2026-04-20T16:15:00-07:00,Room 14,5842037,1179385526,English (auto-generated),126616,70835,ok,2026-06-11T05:02:09.153516Z
Advancing Early-Phase Pediatric Cancer Trials to Turn Promising Agents into Actionable Evidence,advancing-early-phase-pediatric-cancer-trials-to-turn-promising-agents-into-acti,,2026-04-20T14:15:00-07:00,2026-04-20T15:45:00-07:00,Room 1,5841986,1179385156,English (auto-generated),120534,71073,ok,2026-06-11T05:02:16.874028Z
Aging Micro- and Macro-Environments in Tumor Progression and Therapy,aging-micro-and-macro-environments-in-tumor-progression-and-therapy,,2026-04-21T14:30:00-07:00,2026-04-21T16:30:00-07:00,Ballroom 6 A,5841825,1179383876,English (auto-generated),129544,73528,ok,2026-06-11T05:02:24.406220Z
"Biomarkers That Change Management: Predicting Therapy Benefit, Progression, and Metastatic Risk",biomarkers-that-change-management-predicting-therapy-benefit-progression-and-met,,2026-04-20T14:30:00-07:00,2026-04-20T16:30:00-07:00,Room 29,5841957,1179385020,English (auto-generated),149820,87008,ok,2026-06-11T05:02:32.810384Z
"Cancer Systems Biology, Ecology, and Evolution",cancer-systems-biology-ecology-and-evolution,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Room 28,5841915,1179384663,English (auto-generated),140306,83265,ok,2026-06-11T05:02:39.799468Z
Chemistry to the Clinic Part 4 of 4: From Transcript to Protein—New Frontiers in Drug Discovery,chemistry-to-the-clinic-part-4-of-4-from-transcript-to-proteinnew-frontiers-in-d,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Ballroom 20 CD,5841798,1179383835,English (auto-generated),144333,86784,ok,2026-06-11T05:02:47.277249Z
Chromosomal Instability in Cancer: From Mechanism to Therapy and Clinical Translation,chromosomal-instability-in-cancer-from-mechanism-to-therapy-and-clinical-transla,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Ballroom 6 B,5841831,1179383883,English (auto-generated),142543,85275,ok,2026-06-11T05:02:57.245883Z
Comparison of Solid and Liquid Tumors,comparison-of-solid-and-liquid-tumors,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Room 29,5841908,1179384574,English (auto-generated),126030,74893,ok,2026-06-11T05:03:03.850283Z
Contextual Challenges in Interpreting Performance of Blood-Based Early Cancer Detection Tests,contextual-challenges-in-interpreting-performance-of-blood-based-early-cancer-de,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Room 1,5841940,1179384861,English (auto-generated),136647,80974,ok,2026-06-11T05:03:10.710535Z
"Continuous Oncology: Wearables, Digital Biomarkers, and the Future of Cancer Interception",continuous-oncology-wearables-digital-biomarkers-and-the-future-of-cancer-interc,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Room 16,5841945,1179384928,English (auto-generated),135092,78796,ok,2026-06-11T05:03:18.083324Z
"Cracking Adaptive Resistance: AI-Enabled, Screen-Guided Targets in Tumor Plasticity, DNA Damage, Metabolism, and CTC-Associated Immunity",cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit,,2026-04-20T14:30:00-07:00,2026-04-20T16:30:00-07:00,Room 28,5841991,1179385174,English (auto-generated),177882,98905,ok,2026-06-11T05:03:25.126604Z
Cutting-Edge Advances in Hematology,cutting-edge-advances-in-hematology,,2026-04-20T14:30:00-07:00,2026-04-20T16:30:00-07:00,Room 15,5841988,1179385171,English (auto-generated),170103,94827,ok,2026-06-11T05:03:34.501728Z
Deep Learning in Digital Pathology: From Morphology to Multimodal Biomarkers,deep-learning-in-digital-pathology-from-morphology-to-multimodal-biomarkers,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Ballroom 6 CF,5841840,1179383900,English (auto-generated),123373,68488,ok,2026-06-11T05:03:42.042628Z
Digital Pathology,digital-pathology,,2026-04-20T14:30:00-07:00,2026-04-20T16:30:00-07:00,Room 31,5841887,1179384411,English (auto-generated),172922,98410,ok,2026-06-11T05:03:49.377325Z
Focus on ctDNA,focus-on-ctdna,,2026-04-20T14:30:00-07:00,2026-04-20T16:30:00-07:00,Hall H,5841875,1179383973,English (auto-generated),155934,90206,ok,2026-06-11T05:03:57.787187Z
Genomic Approaches to Understanding Tumor Evolution,genomic-approaches-to-understanding-tumor-evolution,,2026-04-21T14:30:00-07:00,2026-04-21T16:30:00-07:00,Room 11,5841903,1179384532,English (auto-generated),161645,92821,ok,2026-06-11T05:04:05.760357Z
Identification and Management of Reduced Penetrance High-risk Cancer Gene Variants,identification-and-management-of-reduced-penetrance-high-risk-cancer-gene-varian,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Room 15,5842022,1179385375,English (auto-generated),126653,73320,ok,2026-06-11T05:04:12.425999Z
Immunotherapy: Mechanisms and Responses,immunotherapy-mechanisms-and-responses,,2026-04-21T14:30:00-07:00,2026-04-21T16:30:00-07:00,Room 28,5842005,1179385264,English (auto-generated),158647,89438,ok,2026-06-11T05:04:19.905883Z
Inflammation and Immunity in Cancer Progression,inflammation-and-immunity-in-cancer-progression,,2026-04-21T14:30:00-07:00,2026-04-21T16:30:00-07:00,Room 14,5841959,1179385054,English (auto-generated),159742,94518,ok,2026-06-11T05:04:27.239412Z
"Innovations in Translating Social and Structural Determinants of Health Across Population, Community, and Basic Cancer Research",innovations-in-translating-social-and-structural-determinants-of-health-across-p,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Room 5,5841927,1179384762,English (auto-generated),141071,82914,ok,2026-06-11T05:04:34.764520Z
KRAS Inhibitors: From Discovery to Patient Outcomes,kras-inhibitors-from-discovery-to-patient-outcomes,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Ballroom 20 AB,5841784,1179383816,English (auto-generated),147528,89047,ok,2026-06-11T05:04:42.847111Z
KRAS-Targeted Therapies: Overcoming Resistance and Novel Combinations,kras-targeted-therapies-overcoming-resistance-and-novel-combinations,,2026-04-21T14:30:00-07:00,2026-04-21T16:30:00-07:00,Ballroom 20 AB,5841794,1179383829,English (auto-generated),134480,75243,ok,2026-06-11T05:04:49.389547Z
Machine Learning Approaches for Cancer Diagnosis and Treatment Prediction,machine-learning-approaches-for-cancer-diagnosis-and-treatment-prediction,,2026-04-21T14:30:00-07:00,2026-04-21T16:30:00-07:00,Ballroom 20 CD,5841807,1179383848,English (auto-generated),151203,83345,ok,2026-06-11T05:04:55.992060Z
Macrophages as Therapeutic Gatekeepers: From Biology to Clinical Application,macrophages-as-therapeutic-gatekeepers-from-biology-to-clinical-application,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Room 33,5841911,1179384627,English (auto-generated),153235,94496,ok,2026-06-11T05:05:02.607763Z
Manufacturing and Engineering the Next Generation of Immune Effectors,manufacturing-and-engineering-the-next-generation-of-immune-effectors,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Room 30,5841965,1179385085,English (auto-generated),149846,90847,ok,2026-06-11T05:05:11.673070Z
"Mechanotransduction in Tumor Development, Metastasis, and Therapy Resistance",mechanotransduction-in-tumor-development-metastasis-and-therapy-resistance,,2026-04-18T14:30:00-07:00,2026-04-18T16:00:00-07:00,Room 31,5841976,1179385126,English (auto-generated),142391,83810,ok,2026-06-11T05:05:19.179795Z
Metabolic Signaling and Therapeutic Vulnerabilities in Cancer,metabolic-signaling-and-therapeutic-vulnerabilities-in-cancer,,2026-04-21T14:30:00-07:00,2026-04-21T16:30:00-07:00,Ballroom 6 CF,5841852,1179383925,English (auto-generated),137533,80135,ok,2026-06-11T05:05:26.416058Z
Microenvironmental Determinants of Tumor Evolution and Immune Escape,microenvironmental-determinants-of-tumor-evolution-and-immune-escape,,2026-04-20T14:30:00-07:00,2026-04-20T16:30:00-07:00,Ballroom 6 CF,5841845,1179383909,English (auto-generated),159242,88643,ok,2026-06-11T05:05:34.670316Z
Minisymposium: Late-Breaking Research,minisymposium-late-breaking-research,,2026-04-21T14:30:00-07:00,2026-04-21T16:30:00-07:00,Room 5,5841910,1179384607,English (auto-generated),160986,92029,ok,2026-06-11T05:05:41.212292Z
