talk_id,session_title,talk_title,speaker_name,affiliation,role,tumor_types,clinical_stage,topic_categories,novelty_flag,moa_summary,key_findings,n_targets,n_clinical_data,n_combination_strategies,primary_metric,primary_value,primary_n,primary_population
el-camino-de-la-pediatría-finding-our-way-through-the-chasm-of-pediatric-oncolog::fox::2,El Camino de la Pediatria: Finding Our Way Through the Chasm of Pediatric Oncology Drug Development,ADC Landscape and Emerging Small‑Molecule Opportunities in Pediatric Oncology,Beth Fox,"St. Jude Children’s Research Hospital, Senior Vice President for Clinical Research",academic_pi,solid tumor; hematologic malignancy,mixed,ADC; targeted_therapy; clinical_trial; biomarker_development,best_in_class,"Fox outlined the current ADC pipeline for children, highlighting successful CD30‑targeted brentuximab vedotin, the limited pediatric activity of folate‑receptor‑α ADCs (e.g., SUTRO‑002 achieving 30% CRs in a small AML cohort), and the challenges of HER2‑directed ADCs in osteosarcoma where low antigen expression limited efficacy, while also introducing emerging targets such as STEAP2 and B7‑H3 for future pediatric ADC development.","Only 2 FDA pediatric‑only approvals (EMA 2, FDA 5) despite 712 registered ADC trials worldwide. | For solid‑tumor ADCs, no actively accruing pediatric trials were identified as of April 2024. | SUTRO‑002 treated 10 children with infant AML; 3 achieved complete responses, demonstrating feasibility of pediatric ADCs. | Trastuzumab deruxtecan screened 50 osteosarcoma patients, 9 enrolled; 1 DLT and 1 prolonged stable disease observed, insufficient to proceed to stage 2. | Emerging targets STEAP2 and B7‑H3 are being prioritized for future pediatric ADC programs.",5,3,1,complete responses in SUTRO‑002 monotherapy,3/10 (30%),n=10 children,infant AML with FRα expression
el-camino-de-la-pediatría-finding-our-way-through-the-chasm-of-pediatric-oncolog::leach::3,El Camino de la Pediatria: Finding Our Way Through the Chasm of Pediatric Oncology Drug Development,Precision Immunotherapy: CAR T Cells and Bispecific Antibodies in Pediatric Cancer,Ted Leach,"Children's Hospital of Philadelphia, Associate Professor of Pediatrics",academic_pi,B‑cell acute lymphoblastic leukemia; AML; neuroblastoma; diffuse midline glioma; osteosarcoma; solid tumor,mixed,immunotherapy; CAR_T; bispecific; clinical_trial; biomarker_development,first_in_class,"Leach reviewed the rapid clinical impact of CD19‑directed bispecific blinatumomab and CAR‑T (tisagenlecleucel) in pediatric B‑ALL, achieving up to 96% disease‑free survival when moved to frontline, and discussed next‑generation CAR‑T strategies (humanized, dual‑target CD19/CD22, armored constructs) and bispecifics (DLL3‑targeted tarlatamab) aimed at overcoming antigen escape and extending efficacy to solid tumors such as neuroblastoma and diffuse midline glioma.","Blinatumomab achieved 27/70 CRs in relapsed/refractory pediatric ALL and improved DFS/OS in the randomized ALL 1331 trial. | Frontline blinatumomab (ALL 1731) raised 5‑year DFS to 96% versus 88% with chemotherapy alone. | Tisagenlecleucel produced an 81% remission rate and ~60% 3‑year OS in heavily pre‑treated pediatric B‑ALL. | Humanized CD19 CAR‑T showed 98% ORR in CAR‑naïve patients, suggesting reduced immunogenicity. | CD22‑CAR trials report 70‑75% ORR, supporting dual‑target strategies to prevent CD19 loss. | GD2‑CAR in neuroblastoma yielded a 66% ORR, with higher activity in low‑burden disease.",6,7,2,blinatumomab CR rate in phase 1/2 R/R ALL,27/70 (39%),n=70,relapsed/refractory pediatric ALL
epigenetics-in-hematologic-malignancies::josefowicz::1,epigenetics-in-hematologic-malignancies,Signaling-to-chromatin pathways and histone phosphorylation in lymphoma,Steven Josefowicz,"Weill Cornell Medicine, Department of Immunology",session_chair_with_data,DLBCL; lymphoma,preclinical,epigenetics; basic_science; tumor_microenvironment; platform_technology,first_in_class,"Signal‑induced phosphorylation of histone H3 at serine 28 creates a transient domain that ejects the PRC2 complex, abolishing its allosteric activation and chromatin condensation activity, thereby converting repressive H3K27me3 domains into permissive transcriptional states in germinal‑center B cells and lymphoma.","Serine 28 phosphorylation spreads across several hundred kilobase domains in stimulated macrophages and GC B cells, whereas serine 31 phosphorylation is confined to transcription units. | In ABC DLBCL, H3S28ph is constitutively high and overlaps with PRC2‑mediated H3K27me3 at the MYC locus, defining a ‘methyl‑phos switch’. | Biophysical assays show that H3S28ph‑containing nucleosome arrays are poor substrates for EZH2 and resist PRC2‑driven chromatin condensation. | Ex vivo GC B‑cell stimulation reveals progressive loss of H3K27me3 within H3S28ph domains, accompanied by increased chromatin interactivity and H3K36me2 gain. | Similar histone phosphorylation patterns are observed in T cells (TBET locus) and NK cells (IL15RA), and are constitutive in MYD88/CD79B mutant lymphoma PDX models.",3,0,0,,,,
epigenetics-in-hematologic-malignancies::levine::2,epigenetics-in-hematologic-malignancies,ELOVL1‑mediated lipid metabolism as a dependency in NRAS‑mutant IDH‑mutant AML,Ross Levine,"Memorial Sloan Kettering Cancer Center, Department of Medicine",academic_pi,AML,preclinical,epigenetics; metabolism; targeted_therapy; basic_science; translational,first_in_class,"ELOVL1 catalyzes very‑long‑chain fatty‑acid elongation, feeding sphingolipid/ceramide synthesis that sustains lipid‑raft integrity; in NRAS‑mutant IDH‑mutant AML, loss of ELOVL1 disrupts lipid rafts, attenuates NRAS‑driven MAPK signaling, and selectively impairs leukemia cell viability.","CRISPR screens of epigenetic and metabolic libraries identified ELOVL1 as a selective dependency in Tet/IDH mutant AML cells. | ELOVL1 knock‑out depletes NRAS‑mutant AML cells in vitro and in vivo (bone marrow and peripheral blood) but not WT or RAS‑WT AML. | Pharmacologic inhibition of ELOVL1 with a Vertex compound reproduces genetic dependency, causing selective depletion of triple‑mutant cells. | Catalytic‑dead ELOVL1 fails to rescue the phenotype, confirming requirement for enzymatic activity. | Disruption of sphingolipid biosynthesis (SPTLC1, KDSR) phenocopies ELOVL1 loss, whereas peroxisomal fatty‑acid pathways do not. | Lipid‑raft depletion (MBCD) selectively kills NRAS‑mutant AML, and ELOVL1 loss reduces raft abundance and downstream MAPK/PI3K signaling.",6,0,2,,,,
epigenetics-in-hematologic-malignancies::amengual::3,epigenetics-in-hematologic-malignancies,Epigenetic priming to enhance T‑cell directed therapies in lymphoma,Jennifer Amengual,"Columbia University, Department of Hematology/Oncology",academic_pi,lymphoma,phase_2,immunotherapy; cancer_vaccines; epigenetics; combination_therapy; clinical_trial; translational,best_in_class,"Epigenetic agents (HAT activator YF2, HDAC3 inhibitor, EZH2 inhibitor, DNMT inhibitor) remodel chromatin to up‑regulate antigen‑presentation genes (MHC‑I/II, CD20) and reverse exhaustion markers, thereby priming lymphoma cells for enhanced recognition and killing by checkpoint blockade, CAR‑T cells, and bispecific antibodies.","YF2 increases HLA‑A/B/C and antigen‑processing gene expression, boosting MHC‑I/II surface levels in lymphoma cell lines and mouse B cells. | Combination of YF2 with anti‑PD‑L1 reduces tumor growth and prolongs survival in A20‑bearing mice, with increased tumor MHC‑I and decreased PD‑1 on infiltrating T cells. | HDAC3 inhibition plus PD‑L1 blockade yields 80% CR in primary mediastinal large B‑cell lymphoma and 57–71% CR in Hodgkin lymphoma, with durable responses. | Tazemetostat priming enhances CAR‑T cell infiltration, synapse formation, and cytokine production, achieving 100% ORR and 77% CR in a 13‑patient lymphoma cohort. | Belinostat + tazemetostat restores CD20 (including epitope‑specific variants) on bispecific‑resistant lymphoma cells, increases MHC expression, and drives T‑cell mediated killing in 3‑D spheroid models.",7,7,4,CR rate,80%,n=?? primary mediastinal large B‑cell lymphoma cohort,"primary mediastinal large B‑cell lymphoma, checkpoint‑naïve"
epistasis-and-evolution-how-genetic-interactions-shape-cancer-trajectories::aranzo::1,epistasis-and-evolution-how-genetic-interactions-shape-cancer-trajectories,Detecting and Modeling Genetic Epistasis in Cancer Using Conditional Selection,Jaime Aranzo,Sanger Institute,academic_pi,pan-cancer; low-grade glioma; endometrial cancer; colorectal cancer,unspecified,basic_science; computational; evolutionary; cancer_genomics; translational,platform_technology,"Aranzo presented a statistical framework that uses synonymous mutations to build a neutral null model of mutation, compares expected vs observed non‑synonymous counts to estimate driver selection, and then quantifies conditional selection (epistasis) by stratifying tumors on a split gene and re‑estimating selection for a query gene, implemented in the R package cosalliance.","Positive and negative epistasis are pervasive, with 25‑50% of driver mutations affected by positive epistasis across cancer types. | Epistasis networks are modular: genes within a module show synergistic interactions, while modules antagonize each other. | Module‑based mutational profiles predict patient survival better than individual gene mutations. | Early mutations in a module can forecast the eventual molecular subtype of a tumor. | Asymmetric epistatic relationships reveal logical ordering of mutations, e.g., TP53 enhances the effect of RB1 in glioblastoma but not vice versa.",0,0,0,,,,
epistasis-and-evolution-how-genetic-interactions-shape-cancer-trajectories::alfaro-murillo::2,epistasis-and-evolution-how-genetic-interactions-shape-cancer-trajectories,Quantifying Epistasis and Evolutionary Trajectories in Cancer,Jorge Alfaro-Murillo,Universidad de Costa Rica,academic_pi,colorectal adenocarcinoma,unspecified,basic_science; computational; evolutionary; cancer_genomics; translational,platform_technology,"Alfaro-Murillo described a continuous‑time Markov chain model that estimates substitution rates for all possible mutational pathways among a set of genes, fits these rates to observed genotype frequencies, and separates mutation from selection using neutral mutation rate estimates (e.g., NDS, SigMutCel) to derive selection coefficients and epistatic interactions.","The model can infer four substitution rates for any gene pair, capturing order‑dependent effects. | In colorectal cancer, KRAS and BRAF show strong antagonistic epistasis, while APC and KRAS display weak or non‑significant interaction. | Selection coefficients derived after correcting for mutation rates reveal that many apparent co‑occurrences are driven by high mutation rates rather than true epistasis. | Statistical tests (likelihood ratio) can formally assess the presence of epistasis and compare epistatic effects across populations.",0,0,0,,,,
epistasis-and-evolution-how-genetic-interactions-shape-cancer-trajectories::jeff::3,epistasis-and-evolution-how-genetic-interactions-shape-cancer-trajectories,Tobacco Smoking and Somatic Selective Epistasis in Lung Adenocarcinoma,Jeff,"unknown (session chair, presenting data)",session_chair_with_data,lung adenocarcinoma,unspecified,cancer_genomics; evolutionary; clinical_trial; translational; immunotherapy,first_in_class,"Jeff showed that smoking alters both mutation rates and selection coefficients of key lung adenocarcinoma drivers; after deconvolution, KRAS, KEAP1, STK11 and SDK11 have higher selection in ever smokers, while EGFR, PI3K and SMAD4 are stronger drivers in never smokers, and complex gene‑by‑gene‑by‑environment epistatic interactions reshape evolutionary trajectories.","Smoking increases mutation rates genome‑wide but the magnitude varies by gene (e.g., ALK, GNAS show especially high rates). | After correcting for mutation rates, KRAS selection is significantly higher in ever smokers, while EGFR selection is negligible in smokers. | Pairwise epistasis is common in ever smokers; many driver mutations (e.g., KRAS, KEAP1) antagonize early genes like TP53, indicating early clonal emergence. | Higher‑order interactions (G×G×E) were identified, e.g., KEAP1 selection strongest in smokers without EGFR mutation, weaker in EGFR‑mutant smokers. | Clinical implications: EGFR TKIs achieve higher response rates in never smokers; co‑mutations (e.g., KRAS, KEAP1) predict poorer outcomes in EGFR‑mutant disease.",4,3,2,KRAS prevalence,higher in ever smokers,n=TCGA LUAD cohort,ever smokers
exploiting-cancer-evolution-for-clinical-impact::ideker::1,exploiting-cancer-evolution-for-clinical-impact,Foundation model of the tumor genome for drug response prediction and evolution analysis,Trey Ideker,"University of California, San Diego, Department of Computer Science and Engineering",academic_pi,pan-cancer,mixed,AI_ML; platform_technology; clinical_trial; translational; biomarker_development,platform_technology,"Ideker presented a self‑supervised foundation model (MutationProjector) that learns embeddings of tumor genomes by masking gene alterations and predicting them using graph‑attention networks informed by protein‑protein, TF‑binding, and synthetic‑lethal networks. The low‑dimensional embeddings capture tumor type and combinatorial mutation patterns, which can be used as features for downstream supervised models (e.g., random forest) to predict drug response, including immunotherapy efficacy.","The foundation model organizes tumors by type and reveals key single‑gene and pairwise mutation interactions (e.g., RB1‑TP53, FGFR3‑CDKN2A) driving the embedding. | Embedding coordinates improve immunotherapy response prediction in NSCLC (AUC 0.78) versus traditional biomarkers. | Clonal evolution analysis shows a pseudo‑time trajectory correlating with increasing TP53, APC, and CDKN2A alterations across stages. | Scaling the model to 270,000 genomes further improves performance, indicating data‑limited learning.",0,1,0,Immunotherapy response prediction AUC,0.78,n=250 lung cancer patients (validation set),NSCLC patients treated with anti‑PD‑1/PD‑L1 therapy
exploiting-cancer-evolution-for-clinical-impact::graham::2,exploiting-cancer-evolution-for-clinical-impact,Aneuploidy burden as a predictive biomarker for colorectal cancer risk in inflammatory bowel disease,Trevor Graham,"Institute of Cancer Research, London, United Kingdom",academic_pi,colorectal cancer,unspecified,early_detection; biomarker_development; tumor_microenvironment; evolution; clinical_trial,clinical_validation_of_known,"Graham demonstrated that widespread copy‑number alterations (aneuploidy) arise in inflamed colonic epithelium of IBD patients, forming large clonal expansions that precede dysplasia. Quantifying the aneuploidy burden in dysplastic lesions or in morphologically normal biopsies predicts future colorectal cancer risk, providing a mechanistic link between chronic inflammation‑driven genomic instability and cancer evolution.","Aneuploid clones can spread across the entire colon, covering meters of tissue, without visible dysplasia. | Copy‑number burden is significantly higher in lesions that later progress to cancer versus those that do not (p<0.001). | A high aneuploidy burden in low‑grade dysplasia predicts cancer development with ~85% PPV and NPV. | Aneuploidy in non‑dysplastic surveillance biopsies also predicts future cancer, suggesting a field‑effect biomarker. | Margin analysis after endoscopic resection shows that residual aneuploid clones correlate with subsequent cancer, indicating potential for molecular clearance monitoring.",0,2,0,Positive predictive value,85%,n=70 discovery patients,IBD patients with low‑grade dysplasia (progressors)
exploiting-cancer-evolution-for-clinical-impact::carlo::3,exploiting-cancer-evolution-for-clinical-impact,Evolutionary strategies to manage therapeutic resistance in cancer,Carlo,"Session Chair, unspecified institution",session_chair_with_data,,unspecified,resistance_mechanisms; combination_therapy; evolution; clinical_trial; adaptive_therapy,platform_technology,"The speaker outlined evolutionary concepts for reducing cancer evolvability (lowering mutation rate, limiting resources, reducing selection pressure) and for changing selective pressures (drug rotation, alternating opposing therapies, adaptive dosing). He highlighted adaptive therapy—dose modulation based on tumor burden—to maintain competition between sensitive and resistant clones, citing preclinical mouse work and a phase‑II adaptive trial in prostate cancer that doubled time to progression.","Maximum tolerated dose accelerates selection for resistance; lower or adaptive dosing can prolong control. | Adaptive therapy in metastatic prostate cancer increased median time to progression from 14.3 to 33.5 months and suggested a ~7‑fold fitness cost of resistance. | Preclinical models show that adding benign selective pressures (multiple drugs) slows evolution of any single resistance. | Integrated pest management heuristics (minimum effective dose, monitoring, rotating modes of action) are proposed as a framework for cancer therapy.",0,2,2,Time to progression,33.5 months,n=16 adaptive therapy patients,metastatic castration‑resistant prostate cancer
extracellular-matrix-remodeling-in-the-tumor-microenvironment-and-distant-niches::bravo-cordero::1,extracellular-matrix-remodeling-in-the-tumor-microenvironment-and-distant-niches,Extracellular matrix regulation of metastatic dormancy via DDR1-STAT1 signaling,Javier Bravo-Cordero,University laboratory (unspecified),academic_pi,breast cancer; head and neck cancer; pan-cancer,preclinical,tumor_microenvironment; basic_science; spatial_biology; metabolism; translation,first_in_class,"Dormant disseminated tumor cells secrete collagen III, creating a pro‑quiescent ECM that signals through the collagen receptor DDR1 to activate STAT1, maintaining G0 arrest. Proline hydroxylase P4HA2 stabilizes this collagen matrix; its loss reduces hydroxylated collagens, remodels the ECM, activates mitochondria and LDH4A1‑driven metabolism, thereby awakening dormant cells.","Dormant tumor cells produce collagen III‑rich ECM that induces nuclear CDK2 biosensor localization, indicating G0 arrest. | Collagen III up‑regulates DDR1 expression, activating STAT1 signaling to maintain dormancy. | P4HA2 is up‑regulated in dormant cells; knockdown restores proliferation and metastasis in lung colonization assays. | Loss of P4HA2 decreases proline‑hydroxylated collagens (III, I, V) in the tumor microenvironment. | P4HA2‑deficient ECM triggers mitochondrial enlargement, increased basal and maximal respiration, and higher ATP production. | LDH4A1 is up‑regulated in awakened cells, driving NADH production; its knockdown blocks awakening despite P4HA2 loss.",3,0,0,,,,
extracellular-matrix-remodeling-in-the-tumor-microenvironment-and-distant-niches::sangaletti::2,extracellular-matrix-remodeling-in-the-tumor-microenvironment-and-distant-niches,"SPARC-mediated collagen regulation impacts immunity, autoimmunity and tumor progression",Sabina Sangaletti,University research lab (unspecified),academic_pi,breast cancer; acute myeloid leukemia; CLL; autoimmune disease models,preclinical,tumor_microenvironment; immunity; extracellular_matrix; basic_science; autoimmunity,platform_technology,"SPARC regulates collagen I/IV deposition, shaping ECM scaffolds that control immune cell localization and activation; loss of SPARC reduces collagen barriers, enhances NETosis, alters B‑cell maturation via CD24‑P‑selectin interactions, and promotes myeloid‑derived suppressor cell expansion, thereby influencing autoimmunity, AML aggressiveness, and breast cancer metastasis.","SPARC deficiency impairs germinal center formation and B‑cell maturation due to loss of collagen scaffolding and increased CD24‑P‑selectin‑mediated apoptosis. | In SPARC‑KO mice, neutrophil NETosis is enhanced, leading to increased IL‑6 and growth factor release that drives autoimmunity and CLL‑like disease. | High SPARC expression in breast cancer (ECM3 signature) correlates with collagen‑rich, immune‑cold tumors and increased metastasis. | SPARC‑high tumors produce more GM‑CSF, IL‑6, and CXCL12, recruiting myeloid‑derived suppressor cells; COX‑2 inhibition reduces these cytokines. | Knockdown of fatty‑acid desaturase 5 reduces SPARC secretion, decreasing myeloid suppression and metastasis in a SPARC‑high clone.",2,0,1,,,,
extracellular-matrix-remodeling-in-the-tumor-microenvironment-and-distant-niches::difour::3,extracellular-matrix-remodeling-in-the-tumor-microenvironment-and-distant-niches,"CHIL1‑neutrophil axis drives ECM remodeling, myoepithelial loss and breast cancer metastasis",Tarek Difour,University research lab (unspecified),academic_pi,breast cancer,preclinical,immunotherapy; tumor_microenvironment; ECM; metastasis; basic_science,first_in_class,"STAT3‑driven CHIL1 expression in mammary tumor cells recruits neutrophils, inducing NETosis and neutrophil degranulation; neutrophil elastase degrades laminin and collagen IV, dismantling the myoepithelial basement membrane, permitting tumor invasion and metastasis, while NETs create an immune‑excluded niche.","CHIL1 overexpression accelerates lung metastasis in Middle T mice within six weeks. | CHIL1 knockout tumors retain an intact CK14+ myoepithelial layer and fail to metastasize. | Neutrophil depletion (anti‑Ly6G) preserves myoepithelial markers and prevents basement membrane degradation. | Pharmacologic inhibition of neutrophil elastase with Alvestat maintains CK14, calponin, and p63 expression and reduces circulating tumor cells. | CHIL1‑driven neutrophil recruitment leads to extensive laminin and collagen IV degradation, driving myoepithelial loss.",2,0,2,,,,
fibroblast-dynamics-how-heterogeneity-shapes-the-tumor-microenvironment::duggan::1,fibroblast-dynamics-how-heterogeneity-shapes-the-tumor-microenvironment,Fibroblast heterogeneity and therapeutic strategies in pancreatic cancer,Stephanie Duggan,Dana-Farber Cancer Institute and Harvard Medical School,session_chair_with_data,pancreatic ductal adenocarcinoma,unspecified,tumor_microenvironment; immunotherapy; combination_therapy; clinical_trial; translational,negative_or_null_result,"Stephanie Duggan reviewed fibroblast heterogeneity in pancreatic cancer, describing myCAF and iCAF subsets driven by TGF‑β and IL‑1β, and summarized failed clinical attempts to deplete fibroblasts or ECM (Smoothened inhibition, pegylated hyaluronidase) which paradoxically worsened survival, highlighting the need for more nuanced targeting.",Smoothened inhibition combined with gemcitabine accelerated tumor progression in humans despite preclinical efficacy. | Pegylated hyaluronidase failed to improve overall survival and worsened outcomes when combined with FOLFIRINOX. | TGF‑β blockade depleted myCAFs but did not improve survival in pancreatic cancer trials. | IL‑1β blockade showed no benefit over chemotherapy in pancreatic cancer.,0,1,0,overall survival,no benefit with pegylated hyaluronidase + FOLFIRINOX,unspecified,pancreatic cancer patients
fibroblast-dynamics-how-heterogeneity-shapes-the-tumor-microenvironment::sherman::2,fibroblast-dynamics-how-heterogeneity-shapes-the-tumor-microenvironment,Stellate‑cell derived Kit ligand as a stromal tumor‑suppressive factor in pancreatic cancer,Mara Sherman,Dana‑Farber Cancer Institute,academic_pi,pancreatic ductal adenocarcinoma,preclinical,tumor_microenvironment; basic_science; translational; spatial_biology,first_in_class,"Sherman demonstrated that Kit ligand (KITLG) is expressed by normal pancreatic stellate cells and lost during tumorigenesis; loss of stromal Kit ligand increases inflammation, leukocyte infiltration, and acinar‑to‑ductal metaplasia, thereby promoting tumor initiation, whereas its presence supports normal tissue architecture and restrains tumor progression.","Kit ligand is highly expressed in normal pancreatic stellate cells but markedly reduced in pancreatic cancer stroma. | Conditional deletion of Kit ligand in mouse pancreas increases CD45+ leukocyte infiltration and perivascular mesenchymal cells. | Kit ligand loss exacerbates cerulein‑induced pancreatitis and promotes acinar‑to‑ductal metaplasia. | In implantable tumor models, stromal Kit ligand deficiency accelerates tumor growth.",2,0,0,,,,
flaimme-a-national-federated-learning-consortium-advancing-privacy-preserving-on::topaloglu::1,flaimme-a-national-federated-learning-consortium-advancing-privacy-preserving-on,Technical implementation and early results of MedGamma fine‑tuning with QLoRA across consortium sites,Umut Topaloglu,"National Cancer Institute, Clinical and Translational Informatics Branch",session_chair_with_data,lung cancer; breast cancer,preclinical,AI_ML; platform_technology; basic_science; clinical_trial,platform_technology,"Umut described the federation of MedGamma using QLoRA adapters, where each site fine‑tunes a frozen foundation model on local lung and breast cancer records, then shares low‑rank weight updates via NVIDIA FLARE to produce a more robust multimodal extractor.","Three of four sites completed local QLoRA fine‑tuning, showing improved extraction accuracy versus out‑of‑the‑box MedGamma (visualized as orange vs blue bars). | One site demonstrated a statistically significant increase in variable extraction performance after fine‑tuning; other sites reported even larger gains. | Federated aggregation of QLoRA weights is scheduled, with the hypothesis that exposure to four centers’ data will further boost model robustness.",0,0,0,,,,
flaimme-a-national-federated-learning-consortium-advancing-privacy-preserving-on::rasool::2,flaimme-a-national-federated-learning-consortium-advancing-privacy-preserving-on,Fine‑tuning MedGamma with QLoRA for trial‑matching in lung and breast cancer cohorts,Ghulam Rasool,"Moffitt Cancer Center, Department of Machine Learning",academic_pi,lung cancer; breast cancer,preclinical,AI_ML; platform_technology; clinical_trial; basic_science,platform_technology,"Rasool reported that local QLoRA fine‑tuning of MedGamma on ~500 retrospective lung and breast cancer patients per site markedly improved the model’s ability to extract structured trial‑matching variables from pathology reports and clinical notes, and that a forthcoming federated run will test whether pooled updates further enhance performance.",Local fine‑tuning at one site increased extraction performance from baseline (blue) to post‑fine‑tuning (orange). | Two additional sites reported even larger improvements after local QLoRA adaptation. | Federated aggregation of QLoRA weights is planned for the week following the conference.,0,0,0,,,,
flaimme-a-national-federated-learning-consortium-advancing-privacy-preserving-on::khanna::3,flaimme-a-national-federated-learning-consortium-advancing-privacy-preserving-on,Federated deep‑learning model for overall survival prediction in glioblastoma using MRIs,Rakesh Khanna,"National Cancer Institute, Bioinformatics Science",academic_pi,glioblastoma,preclinical,AI_ML; clinical_trial; basic_science; radiology,clinical_validation_of_known,"Khanna described a federated pipeline where a pre‑trained Vision Transformer extracts 768‑dimensional embeddings from pre‑operative MRI tumor ROIs, which are pooled and fed to an MLP to predict relative overall‑survival risk; the model was trained across public GBM datasets and a real‑world Moffitt cohort (n=104) using NVIDIA FLARE with FedAvg aggregation.","Added 104 real‑world Moffitt GBM patients to three public datasets without centralizing data. | Leave‑one‑site‑out evaluation showed consistent Kaplan‑Meier separation across held‑out cohorts. | Time‑dependent 1‑year AUC and C‑index were comparable to prior centralized studies, though absolute performance was not yet sufficient for clinical decision‑making. | Future plans include incorporating an additional private NCI GBM cohort and expanding to radiology reports, other imaging modalities, and clinical markers.",0,0,0,,,,
focus-on-ctdna::jiang::1,Focus on ctDNA,"Neoadjuvant pembrolizumab stratified by tumor mutation burden and high-risk stage two, three deficient mismatch repair or MSI-high colorectal cancer: The NeoPRISM-CRC study",Yanrong Jiang,UCL,academic_pi,colorectal cancer,phase_2,immunotherapy; ctDNA; biomarker_development; translational; clinical_trial,clinical_validation_of_known,"Neoadjuvant pembrolizumab was used in MMRd colorectal cancer to induce pathological complete response. The study integrated ultrasensitive ctDNA monitoring and TCR profiling to identify 'super molecular responders' who clear ctDNA rapidly, suggesting a potential for non-operative management.","Nine weeks of neoadjuvant pembrolizumab achieved a 59% pCR rate in high-risk stage II/III MMRd CRC (n=31). | ctDNA was detected in 100% of patients at baseline, with 24% in the ultrasensitive range (<100 ppm). | 100% of 'super molecular responders' (rapid clearance after 1 cycle) achieved pCR. | Post-operative ctDNA surveillance demonstrated 100% specificity and 100% negative predictive value for relapse over a median follow-up of 33 months. | Baseline TCR clonal expansion correlates with pCR, and a combined Bayesian model of TCR and ctDNA kinetics improves response prediction.",1,3,0,pCR,59%,n=31,high-risk stage II/III MMRd CRC
focus-on-ctdna::foldy::2,Focus on ctDNA,Early findings from MONITOR-BREAST: ctDNA dynamics during neoadjuvant therapy using an ultrasensitive MRD assay,Julia Foldy,not specified,academic_pi,breast cancer,phase_2,ctDNA; biomarker_development; translational; clinical_trial,platform_technology,"The study evaluated the association between dense, ultrasensitive ctDNA sampling and pathologic response in neoadjuvant breast cancer therapy. It found that sustained MRD negativity is a strong predictor of pCR, while persistent or intermittent positivity strongly predicts residual disease.",100% specificity: all 47 patients achieving pCR were ctDNA negative post-neoadjuvant therapy. | Sustained MRD negativity (76% of patients) resulted in a 63% pCR rate. | Persistent MRD positivity resulted in 0% pCR and 100% residual disease (all RCB2 or 3). | Frequent sampling identified 64% more patients at risk for residual disease compared to a single post-neoadjuvant time point. | Clearance timing varied by subtype: TNBC cleared within 45 days (90% of patients) vs HR+/HER2- which took 16 weeks (90% of patients).,0,3,0,pCR,63%,n=sustained clearers,sustained MRD negative
focus-on-ctdna::upadhyay::3,Focus on ctDNA,Phase 2 study of adjuvant PD-1 blockade with endocrine therapy in hormone receptor-positive and inflammatory breast cancer,Ranjan Upadhyay,not specified,clinician_investigator,inflammatory breast cancer,phase_2,immunotherapy; ctDNA; combination_therapy; clinical_trial,clinical_validation_of_known,"The study tested the combination of pembrolizumab and endocrine therapy in HR+ inflammatory breast cancer (IBC). The hypothesis was that targeting the immunosuppressive microenvironment of IBC would improve DFS, which was observed (71% vs 60% historical).","Two-year DFS was 71%, an improvement over the historical benchmark of 60% for HR+ IBC. | ctDNA negativity at the end of treatment was associated with 100% disease-free survival at 24 months. | ctDNA positivity provided a lead time to clinical progression of up to 15 months. | Durable responders showed lower maximum variant allele frequency (VAF) in nodal tissue compared to non-responders. | Deletions in the immunoglobulin heavy locus (IGH) were found in durable responders, suggesting B-cell involvement in the response.",1,3,1,DFS,71%,n=31,HR+ IBC
focus-on-ctdna::sanz_garcia::4,Focus on ctDNA,"Molecular residual disease interception in local regionally advanced head and neck squamous cell carcinoma, the MERIDIAN phase two trial",Enrique Sanz Garcia,Princess Margaret Hospital,clinician_investigator,head and neck squamous cell carcinoma,phase_2,immunotherapy; ctDNA; bispecific; clinical_trial,first_in_class,The MERIDIAN trial tests the 'interception' hypothesis: treating MRD-positive HNSCC patients with the PD-1/TIGIT bispecific antibody rivocostimib to clear ctDNA and prevent clinical recurrence. One patient achieved persistent ctDNA clearance and remains disease-free 2 years later.,"A single patient treated with rivocostimib achieved persistent ctDNA clearance and remains disease-free 2 years post-therapy. | ctDNA detection at 8-12 weeks post-therapy had 50% sensitivity for recurrence, which improved to 73% with longitudinal tracking. | HPV DNA sequencing showed higher sensitivity but lower specificity compared to the RADAR assay in OPC patients. | Combining tumor-informed assays and HPV DNA increased sensitivity to 100% in OPC patients. | The study was paused due to lower-than-expected MRD prevalence (only 6 patients eligible for interception).",2,2,0,recurrence_rate,23%,n=42,evaluable population
