talk_id,speaker_name,affiliation,session_title,tumor_types,clinical_stage,metric,value,confidence_interval,n,population,comparator,maturity
biomarkers-that-change-management-predicting-therapy-benefit-progression-and-met::cao::7,Wendy Cao,University of Queensland / QIMR Berghofer Medical Research Institute,biomarkers-that-change-management-predicting-therapy-benefit-progression-and-met,melanoma,unspecified,Module score classification accuracy,Not quantified; clear separation between benign and malignant lesions in validation set,,n=261,melanocytic lesions,,interim
bridging-the-gap-multilevel-strategies-to-expand-access-to-cancer-clinical-trial::lee::5,Dr. Cheryl Lee,Ohio State University Comprehensive Cancer Center,bridging-the-gap-multilevel-strategies-to-expand-access-to-cancer-clinical-trial,,unspecified,Referral eligibility rate,"40% of 2,000 patients had a trial for their disease",,"n=2,000",All oncology patients screened at OSU clinics,,interim
bridging-the-gap-multilevel-strategies-to-expand-access-to-cancer-clinical-trial::lee::5,Dr. Cheryl Lee,Ohio State University Comprehensive Cancer Center,bridging-the-gap-multilevel-strategies-to-expand-access-to-cancer-clinical-trial,,unspecified,Eligibility among those with a trial,28%,,n=800,Patients with a matching trial,,interim
bridging-the-gap-multilevel-strategies-to-expand-access-to-cancer-clinical-trial::lee::5,Dr. Cheryl Lee,Ohio State University Comprehensive Cancer Center,bridging-the-gap-multilevel-strategies-to-expand-access-to-cancer-clinical-trial,,unspecified,Approached among eligible,68%,,n=224,Eligible patients,,interim
bridging-the-gap-multilevel-strategies-to-expand-access-to-cancer-clinical-trial::lee::5,Dr. Cheryl Lee,Ohio State University Comprehensive Cancer Center,bridging-the-gap-multilevel-strategies-to-expand-access-to-cancer-clinical-trial,,unspecified,Consented among approached,62%,,n=144,Approached patients,,interim
bridging-the-gap-multilevel-strategies-to-expand-access-to-cancer-clinical-trial::lee::5,Dr. Cheryl Lee,Ohio State University Comprehensive Cancer Center,bridging-the-gap-multilevel-strategies-to-expand-access-to-cancer-clinical-trial,,unspecified,Overall consent rate,5% of total screened,,"n=2,000",All screened patients,,interim
cancer-cachexia-tumor-signals-systemic-impact-and-translational-opportunities::feliciano::2,Elizabeth Cespedes Feliciano,"Kaiser Permanente Northern California, Department of Oncology",cancer-cachexia-tumor-signals-systemic-impact-and-translational-opportunities,lung cancer; pancreatic cancer; colorectal cancer,clinical_trial,prevalence of cachexia at diagnosis,"≈70% pancreatic, ≈60% colorectal, ≈45% lung",,n≈6000,unresectable GI and lung cancers,,interim
cancer-cachexia-tumor-signals-systemic-impact-and-translational-opportunities::feliciano::2,Elizabeth Cespedes Feliciano,"Kaiser Permanente Northern California, Department of Oncology",cancer-cachexia-tumor-signals-systemic-impact-and-translational-opportunities,lung cancer; pancreatic cancer; colorectal cancer,clinical_trial,5‑year survival,HR 0.56,95% CI 0.38‑0.82,"n=157 (high‑risk melanoma example from other talk, not applicable)",severe wasting phenotype,moderate wasting phenotype,interim
cancer-detection-and-interception-across-tumor-types-addressing-modifiable-risk-::delaloge::2,Suzette Delaloge,"Gustave Roussy, Paris, France, Director of the Interception Personalized Cancer Prevention Program",cancer-detection-and-interception-across-tumor-types-addressing-modifiable-risk-,breast cancer; pancreatic cancer; lung cancer; liver cancer; colorectal cancer,mixed,Risk category distribution,"Low risk 36%, High risk 33% of participants",,"n=28,000",MIPEPS trial participants,,interim
cancer-detection-and-interception-across-tumor-types-addressing-modifiable-risk-::delaloge::2,Suzette Delaloge,"Gustave Roussy, Paris, France, Director of the Interception Personalized Cancer Prevention Program",cancer-detection-and-interception-across-tumor-types-addressing-modifiable-risk-,breast cancer; pancreatic cancer; lung cancer; liver cancer; colorectal cancer,mixed,5‑year invasive breast cancer risk (high risk group),1.67%,,"n=~9,240 (33% of 28,000)",High‑risk women in MIPEPS,,interim
cancer-detection-and-interception-across-tumor-types-addressing-modifiable-risk-::delaloge::2,Suzette Delaloge,"Gustave Roussy, Paris, France, Director of the Interception Personalized Cancer Prevention Program",cancer-detection-and-interception-across-tumor-types-addressing-modifiable-risk-,breast cancer; pancreatic cancer; lung cancer; liver cancer; colorectal cancer,mixed,Trial acceptance rate,18%,,n=carriers enrolled in LIBER,BRCA/Lynch carriers offered letrozole trial,,interim
cancer-detection-and-interception-across-tumor-types-addressing-modifiable-risk-::delaloge::2,Suzette Delaloge,"Gustave Roussy, Paris, France, Director of the Interception Personalized Cancer Prevention Program",cancer-detection-and-interception-across-tumor-types-addressing-modifiable-risk-,breast cancer; pancreatic cancer; lung cancer; liver cancer; colorectal cancer,mixed,Adherence to screening in interception program,High (specific % not disclosed),,,Participants in French interception pilot program,,interim
cancer-metabolism-as-a-therapeutic-frontier::ho::2,Ping‑Chi Ho,"Lausanne, Switzerland",cancer-metabolism-as-a-therapeutic-frontier,melanoma; lung adenocarcinoma,preclinical,BACH2 protein level,↑ after MG132 treatment,,n=3 donors,MDR‑low exhausted CD8 T cells,vehicle,interim
cancer-metabolism-as-a-therapeutic-frontier::ho::2,Ping‑Chi Ho,"Lausanne, Switzerland",cancer-metabolism-as-a-therapeutic-frontier,melanoma; lung adenocarcinoma,preclinical,Proliferation of heme‑treated T cells in vivo,Reduced expansion compared with control,,n=5 mice per group,adoptively transferred T cells,vehicle‑treated T cells,interim
cancer-predisposition-syndromes::savage::1,Dr. Sharon Savage,"National Cancer Institute, Clinical Genetics Branch, Division of Cancer Epidemiology and Genetics",cancer-predisposition-syndromes,head and neck squamous cell carcinoma; AML; MDS; pulmonary fibrosis; liver disease,unspecified,median overall survival (all TBDs),52 years,,231 patients,telomere biology disorder cohort,,secondary_endpoint
cancer-predisposition-syndromes::savage::1,Dr. Sharon Savage,"National Cancer Institute, Clinical Genetics Branch, Division of Cancer Epidemiology and Genetics",cancer-predisposition-syndromes,head and neck squamous cell carcinoma; AML; MDS; pulmonary fibrosis; liver disease,unspecified,median overall survival (biallelic/X‑linked/TINF2),30s,,,severe genotype subgroup,,secondary_endpoint
cancer-predisposition-syndromes::savage::1,Dr. Sharon Savage,"National Cancer Institute, Clinical Genetics Branch, Division of Cancer Epidemiology and Genetics",cancer-predisposition-syndromes,head and neck squamous cell carcinoma; AML; MDS; pulmonary fibrosis; liver disease,unspecified,cancer risk pre‑transplant vs general population,4‑fold increase,,,all TBD patients,age‑sex matched general population,secondary_endpoint
cancer-predisposition-syndromes::savage::1,Dr. Sharon Savage,"National Cancer Institute, Clinical Genetics Branch, Division of Cancer Epidemiology and Genetics",cancer-predisposition-syndromes,head and neck squamous cell carcinoma; AML; MDS; pulmonary fibrosis; liver disease,unspecified,overall cancer risk (any transplant status),3‑fold increase,,,telomere biology disorder cohort,general population,secondary_endpoint
cancer-predisposition-syndromes::savage::1,Dr. Sharon Savage,"National Cancer Institute, Clinical Genetics Branch, Division of Cancer Epidemiology and Genetics",cancer-predisposition-syndromes,head and neck squamous cell carcinoma; AML; MDS; pulmonary fibrosis; liver disease,unspecified,head and neck SCC risk (pre‑transplant),≈50‑fold increase,,,TBD patients,general population,secondary_endpoint
cancer-predisposition-syndromes::savage::1,Dr. Sharon Savage,"National Cancer Institute, Clinical Genetics Branch, Division of Cancer Epidemiology and Genetics",cancer-predisposition-syndromes,head and neck squamous cell carcinoma; AML; MDS; pulmonary fibrosis; liver disease,unspecified,AML risk (pre‑transplant),≈50‑fold increase,,,TBD patients,general population,secondary_endpoint
cancer-predisposition-syndromes::savage::1,Dr. Sharon Savage,"National Cancer Institute, Clinical Genetics Branch, Division of Cancer Epidemiology and Genetics",cancer-predisposition-syndromes,head and neck squamous cell carcinoma; AML; MDS; pulmonary fibrosis; liver disease,unspecified,MDS risk (pre‑transplant),≈500‑fold increase,,,TBD patients,general population,secondary_endpoint
cancer-predisposition-syndromes::kastrinos::2,Dr. Faye Kastrinos,"Columbia University, Department of Medicine, GI Cancer Genetics and Prevention Program",cancer-predisposition-syndromes,colorectal cancer; endometrial cancer; gastric cancer; hepatobiliary cancer; pancreatic cancer; urothelial cancer,unspecified,prevalence of Lynch syndrome in unselected population,1 in 354,,"200,000+ All of Us participants",US general population,,primary_endpoint_met
cancer-predisposition-syndromes::kastrinos::2,Dr. Faye Kastrinos,"Columbia University, Department of Medicine, GI Cancer Genetics and Prevention Program",cancer-predisposition-syndromes,colorectal cancer; endometrial cancer; gastric cancer; hepatobiliary cancer; pancreatic cancer; urothelial cancer,unspecified,cancer risk reduction with cascade testing & screening (first‑degree relative),16 % absolute reduction in cancer incidence,,,first‑degree relatives of known carriers,no cascade testing,modeling
cancer-predisposition-syndromes::kastrinos::2,Dr. Faye Kastrinos,"Columbia University, Department of Medicine, GI Cancer Genetics and Prevention Program",cancer-predisposition-syndromes,colorectal cancer; endometrial cancer; gastric cancer; hepatobiliary cancer; pancreatic cancer; urothelial cancer,unspecified,cancer risk reduction with cascade testing & screening (sibling),9 % absolute reduction,,,siblings of known carriers,no cascade testing,modeling
cancer-predisposition-syndromes::kastrinos::2,Dr. Faye Kastrinos,"Columbia University, Department of Medicine, GI Cancer Genetics and Prevention Program",cancer-predisposition-syndromes,colorectal cancer; endometrial cancer; gastric cancer; hepatobiliary cancer; pancreatic cancer; urothelial cancer,unspecified,colorectal cancer incidence in carriers vs non‑carriers (age 50),26 % vs 18 %,,,Lynch syndrome carriers,non‑carriers,secondary_endpoint
cancer-predisposition-syndromes::kastrinos::2,Dr. Faye Kastrinos,"Columbia University, Department of Medicine, GI Cancer Genetics and Prevention Program",cancer-predisposition-syndromes,colorectal cancer; endometrial cancer; gastric cancer; hepatobiliary cancer; pancreatic cancer; urothelial cancer,unspecified,colorectal cancer incidence in carriers vs non‑carriers (age 70),93 % vs 75 %,,,Lynch syndrome carriers,non‑carriers,secondary_endpoint
cancer-predisposition-syndromes::kastrinos::2,Dr. Faye Kastrinos,"Columbia University, Department of Medicine, GI Cancer Genetics and Prevention Program",cancer-predisposition-syndromes,colorectal cancer; endometrial cancer; gastric cancer; hepatobiliary cancer; pancreatic cancer; urothelial cancer,unspecified,aspirin chemoprevention dose recommendation,161 mg daily,,,all Lynch syndrome carriers,,clinical_guideline
cancer-prevention-and-screening-exploring-policy-solutions::krishnan-sarin::1,Suchitra Krishnan-Sarin,Yale Department of Psychiatry,cancer-prevention-and-screening-exploring-policy-solutions,,unspecified,cigarette prevalence,decreasing toward Healthy People 2030 goal of 5%,,,U.S. adults,,interim
cancer-prevention-and-screening-exploring-policy-solutions::krishnan-sarin::1,Suchitra Krishnan-Sarin,Yale Department of Psychiatry,cancer-prevention-and-screening-exploring-policy-solutions,,unspecified,cigar use prevalence,flat,,,U.S. adults,,interim
cancer-prevention-and-screening-exploring-policy-solutions::krishnan-sarin::1,Suchitra Krishnan-Sarin,Yale Department of Psychiatry,cancer-prevention-and-screening-exploring-policy-solutions,,unspecified,e‑cigarette use prevalence,steady increase since 2009,,,U.S. adults,,interim
cancer-prevention-and-screening-exploring-policy-solutions::krishnan-sarin::1,Suchitra Krishnan-Sarin,Yale Department of Psychiatry,cancer-prevention-and-screening-exploring-policy-solutions,,unspecified,youth cigarette use after Juul launch,significant increase,,,U.S. youth,,interim
cancer-prevention-and-screening-exploring-policy-solutions::wood::2,Doug Wood,"University of Washington, Fred Hutch Cancer Research Center",cancer-prevention-and-screening-exploring-policy-solutions,lung cancer,phase_3,mortality reduction,20% reduction,,NLST participants,high‑risk smokers screened with low‑dose CT,,primary_endpoint_met
cancer-prevention-and-screening-exploring-policy-solutions::wood::2,Doug Wood,"University of Washington, Fred Hutch Cancer Research Center",cancer-prevention-and-screening-exploring-policy-solutions,lung cancer,phase_3,screening uptake,19% of eligible U.S. adults,,,U.S. population eligible for LDCT,,interim
cancer-prevention-and-screening-exploring-policy-solutions::wood::2,Doug Wood,"University of Washington, Fred Hutch Cancer Research Center",cancer-prevention-and-screening-exploring-policy-solutions,lung cancer,phase_3,lives saved (5‑year model),"15,000 lives",,,U.S. adults screened at 19% uptake,,exploratory
cancer-prevention-and-screening-exploring-policy-solutions::wood::2,Doug Wood,"University of Washington, Fred Hutch Cancer Research Center",cancer-prevention-and-screening-exploring-policy-solutions,lung cancer,phase_3,potential lives saved with expanded criteria,"≈90,000 lives",,,U.S. adults if inclusion criteria broadened,,exploratory
cancer-prevention-and-screening-exploring-policy-solutions::wood::2,Doug Wood,"University of Washington, Fred Hutch Cancer Research Center",cancer-prevention-and-screening-exploring-policy-solutions,lung cancer,phase_3,5‑year survival (screened vs unscreened),84% vs 22%,,,lung cancer patients in IELCAP vs historical,,exploratory
cancer-prevention-and-screening-exploring-policy-solutions::paskett::3,Electra Paskett,"Ohio State University, Division of Cancer Prevention and Control",cancer-prevention-and-screening-exploring-policy-solutions,breast cancer; cervical cancer; colorectal cancer; lung cancer,unspecified,screening uptake (U.S.),"80% mammography, 76% cervical, 64% colorectal",,,U.S. eligible population,,interim
cancer-prevention-and-screening-exploring-policy-solutions::paskett::3,Electra Paskett,"Ohio State University, Division of Cancer Prevention and Control",cancer-prevention-and-screening-exploring-policy-solutions,breast cancer; cervical cancer; colorectal cancer; lung cancer,unspecified,lung cancer screening uptake,14% of eligible adults,,,U.S. eligible for LDCT,,interim
cancer-prevention-and-screening-exploring-policy-solutions::paskett::3,Electra Paskett,"Ohio State University, Division of Cancer Prevention and Control",cancer-prevention-and-screening-exploring-policy-solutions,breast cancer; cervical cancer; colorectal cancer; lung cancer,unspecified,follow‑up after abnormal mammogram,66% timely follow‑up,,,U.S. women with abnormal mammogram,,interim
cancer-prevention-and-screening-exploring-policy-solutions::paskett::3,Electra Paskett,"Ohio State University, Division of Cancer Prevention and Control",cancer-prevention-and-screening-exploring-policy-solutions,breast cancer; cervical cancer; colorectal cancer; lung cancer,unspecified,follow‑up after abnormal cervical screen,60% timely follow‑up,,,U.S. women with abnormal cervical screen,,interim
cancer-prevention-and-screening-exploring-policy-solutions::paskett::3,Electra Paskett,"Ohio State University, Division of Cancer Prevention and Control",cancer-prevention-and-screening-exploring-policy-solutions,breast cancer; cervical cancer; colorectal cancer; lung cancer,unspecified,follow‑up after abnormal lung screen,48‑58% timely follow‑up,,,U.S. individuals with abnormal LDCT,,interim
cancer-prevention-and-screening-exploring-policy-solutions::paskett::3,Electra Paskett,"Ohio State University, Division of Cancer Prevention and Control",cancer-prevention-and-screening-exploring-policy-solutions,breast cancer; cervical cancer; colorectal cancer; lung cancer,unspecified,FIT/FOBT follow‑up,18‑57% timely follow‑up,,,U.S. individuals with positive stool test,,interim
cancer-systems-biology-ecology-and-evolution::anderson::2,Sandy Anderson,Moffitt Cancer Center,cancer-systems-biology-ecology-and-evolution,prostate cancer; melanoma; basal cell carcinoma,phase_2,median_time_to_progression,33 months,,n=4 long‑term responders,metastatic castrate‑resistant prostate cancer,standard of care 14 months,primary_endpoint_met
cancer-systems-biology-ecology-and-evolution::anderson::2,Sandy Anderson,Moffitt Cancer Center,cancer-systems-biology-ecology-and-evolution,prostate cancer; melanoma; basal cell carcinoma,phase_2,drug_usage,<50% of standard cumulative dose,,,same cohort,,secondary_endpoint
cancer-vaccines-the-next-immunotherapy-breakthrough::wu::1,Cathy Wu,Dana-Farber Brigham,Cancer Vaccines: The Next Immunotherapy Breakthrough,glioblastoma,phase_1,overall survival,well in excess of historic control,,not specified,"MGMT methylated, Temodar-treated group",,interim
cancer-vaccines-the-next-immunotherapy-breakthrough::griffin::2,Adam Griffin,MD Anderson Cancer Center,Cancer Vaccines: The Next Immunotherapy Breakthrough,NSCLC; melanoma; osteosarcoma,phase_2,overall survival,significantly improved,,not specified,NSCLC patients receiving COVID vaccine within 100 days of ICI,,interim
cancer-vaccines-the-next-immunotherapy-breakthrough::balachandran::4,Vinod Balachandran,Memorial Sloan Kettering Cancer Center,Cancer Vaccines: The Next Immunotherapy Breakthrough,pancreatic ductal adenocarcinoma,phase_1,recurrence-free survival,not reached,,not specified,vaccine responders,,updated
cancer-vaccines-the-next-immunotherapy-breakthrough::balachandran::4,Vinod Balachandran,Memorial Sloan Kettering Cancer Center,Cancer Vaccines: The Next Immunotherapy Breakthrough,pancreatic ductal adenocarcinoma,phase_1,recurrence-free survival,1 year,,not specified,non-responders,,updated
cancer-vaccines-the-next-immunotherapy-breakthrough::balachandran::4,Vinod Balachandran,Memorial Sloan Kettering Cancer Center,Cancer Vaccines: The Next Immunotherapy Breakthrough,pancreatic ductal adenocarcinoma,phase_1,overall survival,7 of 8 alive,,n=8,vaccine responders,,updated
cancer-vaccines-the-next-immunotherapy-breakthrough::balachandran::4,Vinod Balachandran,Memorial Sloan Kettering Cancer Center,Cancer Vaccines: The Next Immunotherapy Breakthrough,pancreatic ductal adenocarcinoma,phase_1,overall survival,2 of 8 alive,,n=8,non-responders,,updated
cancer-vaccines-the-next-immunotherapy-breakthrough::balachandran::4,Vinod Balachandran,Memorial Sloan Kettering Cancer Center,Cancer Vaccines: The Next Immunotherapy Breakthrough,pancreatic ductal adenocarcinoma,phase_1,T cell response rate,50%,,not specified,unselected PDAC patients,,interim
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::patel::1,Karina Patel,"The University of Texas MD Anderson Cancer Center, Department of Lymphoma and Myeloma",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,multiple myeloma,phase_3,ORR,72%,,n=?? (Phase 1 ide‑cel),"relapsed/refractory MM, ≥6 prior lines",,primary_endpoint_met
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::patel::1,Karina Patel,"The University of Texas MD Anderson Cancer Center, Department of Lymphoma and Myeloma",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,multiple myeloma,phase_3,PFS,11.1 months,,n=??,ide‑cel Phase 1 cohort,,primary_endpoint_met
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::patel::1,Karina Patel,"The University of Texas MD Anderson Cancer Center, Department of Lymphoma and Myeloma",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,multiple myeloma,phase_3,Median PFS,13.3 months,,n=?? (KarMMa‑3),CAR‑T vs daratumumab‑based triplet,standard of care,primary_endpoint_met
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::patel::1,Karina Patel,"The University of Texas MD Anderson Cancer Center, Department of Lymphoma and Myeloma",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,multiple myeloma,phase_3,Median PFS (standard of care),4.4 months,,n=??,same as above,CAR‑T,primary_endpoint_met
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::patel::1,Karina Patel,"The University of Texas MD Anderson Cancer Center, Department of Lymphoma and Myeloma",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,multiple myeloma,phase_3,ORR,97-98%,,n=97 (cilta‑cel relapsed/refractory cohort),"relapsed/refractory MM, ≥6 prior lines",,primary_endpoint_met
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::patel::1,Karina Patel,"The University of Texas MD Anderson Cancer Center, Department of Lymphoma and Myeloma",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,multiple myeloma,phase_3,5‑year remission rate,33%,,n=?? (cilta‑cel long‑term follow‑up),cilta‑cel treated patients,,interim
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::patel::1,Karina Patel,"The University of Texas MD Anderson Cancer Center, Department of Lymphoma and Myeloma",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,multiple myeloma,phase_3,ORR,87%,,"n=?? (GPRC5D CAR‑T, heavily pre‑treated)","relapsed/refractory MM, many post‑BCMA",,interim
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::patel::1,Karina Patel,"The University of Texas MD Anderson Cancer Center, Department of Lymphoma and Myeloma",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,multiple myeloma,phase_3,"ORR (GPRC5D, earlier line, BCMA‑naïve)",94%,,n=??,earlier‑line MM without prior BCMA therapy,,interim
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::frank::2,Matthew Frank,"Stanford University, Division of Blood and Marrow Transplantation and Cellular Therapy",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,large B-cell lymphoma; mantle cell lymphoma; follicular lymphoma; marginal zone lymphoma; ALL; CLL,mixed,ORR,73%,,n=?? (Zantacel third‑line cohort),relapsed/refractory large B‑cell lymphoma,,primary_endpoint_met
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::frank::2,Matthew Frank,"Stanford University, Division of Blood and Marrow Transplantation and Cellular Therapy",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,large B-cell lymphoma; mantle cell lymphoma; follicular lymphoma; marginal zone lymphoma; ALL; CLL,mixed,CR rate,≈50%,,n=??,Zantacel cohort,,primary_endpoint_met
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::frank::2,Matthew Frank,"Stanford University, Division of Blood and Marrow Transplantation and Cellular Therapy",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,large B-cell lymphoma; mantle cell lymphoma; follicular lymphoma; marginal zone lymphoma; ALL; CLL,mixed,Grade 3 ICANS,4%,,n=??,Zantacel,,secondary_endpoint
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::frank::2,Matthew Frank,"Stanford University, Division of Blood and Marrow Transplantation and Cellular Therapy",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,large B-cell lymphoma; mantle cell lymphoma; follicular lymphoma; marginal zone lymphoma; ALL; CLL,mixed,ORR,≈90%,,n=?? (Kite‑363 dose level 3),primary refractory large B‑cell lymphoma,,primary_endpoint_met
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::frank::2,Matthew Frank,"Stanford University, Division of Blood and Marrow Transplantation and Cellular Therapy",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,large B-cell lymphoma; mantle cell lymphoma; follicular lymphoma; marginal zone lymphoma; ALL; CLL,mixed,CR rate,≈80%,,n=??,Kite‑363 dose level 3,,primary_endpoint_met
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::frank::2,Matthew Frank,"Stanford University, Division of Blood and Marrow Transplantation and Cellular Therapy",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,large B-cell lymphoma; mantle cell lymphoma; follicular lymphoma; marginal zone lymphoma; ALL; CLL,mixed,Grade 3 ICANS,low (≤5%),,n=??,Kite‑363,,secondary_endpoint
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::frank::2,Matthew Frank,"Stanford University, Division of Blood and Marrow Transplantation and Cellular Therapy",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,large B-cell lymphoma; mantle cell lymphoma; follicular lymphoma; marginal zone lymphoma; ALL; CLL,mixed,ORR,≈90‑100%,,n=26 (Cargo CD22 CAR overall),"post‑CD19 CAR relapse, mixed histologies",,primary_endpoint_met
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::frank::2,Matthew Frank,"Stanford University, Division of Blood and Marrow Transplantation and Cellular Therapy",CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,large B-cell lymphoma; mantle cell lymphoma; follicular lymphoma; marginal zone lymphoma; ALL; CLL,mixed,CR rate,"53% (overall), 100% in FL cohort",,n=26,Cargo CD22 CAR,,primary_endpoint_met
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::brown::1,Christine Brown,"City of Hope, Professor and Deputy Director of the CAR T-cell Program",cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,brain tumors; solid tumors; hematologic malignancies; autoimmune diseases,phase_1,patients_treated,500,,n=500,all autologous CAR T trial participants,,interim
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::brown::1,Christine Brown,"City of Hope, Professor and Deputy Director of the CAR T-cell Program",cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,brain tumors; solid tumors; hematologic malignancies; autoimmune diseases,phase_1,products_manufactured_per_year,55-85,,n=1 year,City of Hope manufacturing,,interim
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::roberts::2,Zachary Roberts,"Allogene Therapeutics, Chief Medical Officer",cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,large B‑cell lymphoma; renal cell carcinoma; multiple myeloma,mixed,overall_response_rate,67%,,n=200+ treated LBCL patients,relapsed/refractory large B‑cell lymphoma,,primary_endpoint_met
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::roberts::2,Zachary Roberts,"Allogene Therapeutics, Chief Medical Officer",cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,large B‑cell lymphoma; renal cell carcinoma; multiple myeloma,mixed,complete_response_rate,≈65%,,n=200+,relapsed/refractory LBCL,,primary_endpoint_met
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::roberts::2,Zachary Roberts,"Allogene Therapeutics, Chief Medical Officer",cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,large B‑cell lymphoma; renal cell carcinoma; multiple myeloma,mixed,MRD_clearance_rate,60%,,n≈60 in celma‑cel arm,MRD‑positive LBCL post‑R‑CHOP,observation arm,interim
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::roberts::2,Zachary Roberts,"Allogene Therapeutics, Chief Medical Officer",cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,large B‑cell lymphoma; renal cell carcinoma; multiple myeloma,mixed,CRS_rate,0%,,n=200+,allogeneic CAR T recipients,,interim
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::roberts::2,Zachary Roberts,"Allogene Therapeutics, Chief Medical Officer",cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,large B‑cell lymphoma; renal cell carcinoma; multiple myeloma,mixed,ICANS_rate,0%,,n=200+,allogeneic CAR T recipients,,interim
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::roberts::2,Zachary Roberts,"Allogene Therapeutics, Chief Medical Officer",cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,large B‑cell lymphoma; renal cell carcinoma; multiple myeloma,mixed,GVHD_cases,1 isolated case,,n=200+,allogeneic CAR T recipients,,interim
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::roberts::2,Zachary Roberts,"Allogene Therapeutics, Chief Medical Officer",cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,large B‑cell lymphoma; renal cell carcinoma; multiple myeloma,mixed,overall_response_rate_RCC,31%,,n=??,CD70‑high renal cell carcinoma,,interim
cellular-therapies-and-complex-immunotherapies::nadeem::1,Dr. Omar Nadeem,Dana-Farber Cancer Institute,cellular-therapies-and-complex-immunotherapies,multiple myeloma,phase_1,ORR,100%,,n=20,treated patients,,primary_endpoint_met
cellular-therapies-and-complex-immunotherapies::nadeem::1,Dr. Omar Nadeem,Dana-Farber Cancer Institute,cellular-therapies-and-complex-immunotherapies,multiple myeloma,phase_1,CR rate,90%,,n=20,treated patients,,primary_endpoint_met
cellular-therapies-and-complex-immunotherapies::nadeem::1,Dr. Omar Nadeem,Dana-Farber Cancer Institute,cellular-therapies-and-complex-immunotherapies,multiple myeloma,phase_1,MRD negativity,100% at 10^-6,,n=20,treated patients,,primary_endpoint_met
cellular-therapies-and-complex-immunotherapies::nadeem::1,Dr. Omar Nadeem,Dana-Farber Cancer Institute,cellular-therapies-and-complex-immunotherapies,multiple myeloma,phase_1,CRS grade ≥3,0%,,n=20,treated patients,,primary_endpoint_met
