talk_id,speaker_name,institution,session_title,talk_title,presentation_type,rhetorical_signals,cognitive_dissonance,n_vulnerabilities,vulnerability_type,failing_target,mechanistic_blindspot,evidence_strength,n_trial_dilution_risks,n_crispro_opportunities,crispro_top_type,crispro_top_priority,crispro_top_description,data_maturity,sample_size_adequacy,cited_competitors,nct_numbers,companies_to_monitor
clonal-hematopoiesis-aging-and-drivers-of-blood-cancer-and-solid-tumors::unknown::1,Siddharth Jaiswal,Stanford University,clonal-hematopoiesis-aging-and-drivers-of-blood-cancer-and-solid-tumors,TCL1A as a driver of clonal hematopoiesis and myeloid malignancy,translational_science,"Speaker said: ""we think TCL1A might actually be a very good therapeutic target because you might predict that you'd be able to block its function without really affecting normal tissues very much."" | Speaker said: ""we are trying to sequence the bone marrow from these mice now to determine if there are any recurrent cooperating mutations""",,0,,,,,0,2,biomarker_stratification_gap,high,TCL1A expression could serve as a biomarker to identify high‑risk CHIP clones for targeted intervention.,preclinical_only,pilot_only,,,Companies developing AKT inhibitors; Biotech firms with TCL1A‑targeted programs
clonal-hematopoiesis-aging-and-drivers-of-blood-cancer-and-solid-tumors::unknown::2,Jyoti Nangalia,Cambridge University Hospital / Wellcome Sanger Institute,clonal-hematopoiesis-aging-and-drivers-of-blood-cancer-and-solid-tumors,"Clonal hematopoiesis: prevalence, drivers and the PACER method",translational_science,"Speaker said: ""Of the environmental factors we've studied so far, smoking seems to be the strongest promoter of clonal expansion."" | Speaker said: ""We think that TCL1A may be a therapeutic target because you might predict that you'd be able to block its function without really affecting normal tissues very much.""",,0,,,,,0,2,biomarker_stratification_gap,high,PACER fitness estimates could be incorporated into CrisPRO to stratify patients for surveillance or preventive trials.,preclinical_only,adequately_powered,,,Biotech firms pursuing epigenetic modulators of TCL1A
clonal-hematopoiesis-aging-and-drivers-of-blood-cancer-and-solid-tumors::unknown::3,Ben Ebert,Dana-Farber Cancer Institute / Harvard Medical School,clonal-hematopoiesis-aging-and-drivers-of-blood-cancer-and-solid-tumors,Clinical consequences of CHIP and metabolic mechanisms of TET2‑driven inflammation,clinical_trial_readout,"Speaker said: ""If you look at some of the individual genes that hit in this screen, they include ACLY, which is a regulator of conversion of citrate to acetyl‑CoA..."" | Speaker said: ""Intervening on that lipid metabolism removes the inflammatory phenotype.""","Speaker showed that Tet2 knockout cells accumulate lipid droplets and drive inflammation, then concluded that blocking IL‑1β alone can reverse the phenotype — ignoring the upstream metabolic driver (ACLY/OGT) that creates the lipid accumulation",1,acquired_resistance,TET2‑deficient inflammatory pathway,Lipid metabolic reprogramming via ACLY and OGT not addressed by standard anti‑inflammatory therapies,explicit_admission,1,3,resistance_mechanism_addressable,high,Target the ACLY‑OGT metabolic axis in TET2‑mutant clones to prevent lipid‑driven inflammation.,mixed,adequately_powered,Canakinumab (IL‑1β inhibitor),NCT04165772,Pharma companies developing metabolic modulators for inflammatory diseases
code-meets-cure-navigating-the-regulatory-landscape-of-ai-in-oncology-drug-devel::unknown::1,Jeffrey Leake,Fred Hutchinson Cancer Center / Synthesize Bio,code-meets-cure-navigating-the-regulatory-landscape-of-ai-in-oncology-drug-devel,What Do We Do Now That We've Machine Learned Everything?,translational_science,"Speaker said: ""There are four grand opportunities in AI for cancer"" | Speaker noted: ""The regulation is very clear in some places and pretty unclear in others"" | Speaker admitted: ""We don't fully understand why some patients escaped""",,1,insufficient_efficacy,Generative AI models for drug discovery,Lack of validated biological constraints in generative model outputs,implied_by_hedging,0,1,combination_partner,high,Partner with CrisPRO to add mechanistic validation layers to generative models to address blindspots.,preclinical_only,not_applicable,,,Fred Hutchinson Cancer Center
code-meets-cure-navigating-the-regulatory-landscape-of-ai-in-oncology-drug-devel::unknown::2,George Visfilo,AstraZeneca,code-meets-cure-navigating-the-regulatory-landscape-of-ai-in-oncology-drug-devel,AI in Pharma R&D and Regulatory Considerations,translational_science,"Speaker said: ""We have the first Class 2 FDA clearance of an AI applied to pathology"" | Speaker warned: ""If we put bottlenecks, we're just going to slow innovation"" | Speaker noted: ""Explainability may not be required, but validation with fit‑for‑purpose cohorts is""",Speaker showed that AI can predict EGFR mutation from H&E (scientific observation) but concluded that explainability may not be required for clinical deployment (contradiction).,1,primary_resistance,AI‑enabled pathology diagnostic tool,Model trained on limited histology data may not generalize to diverse patient populations,explicit_admission,1,2,platform_superiority_angle,medium,Use CrisPRO to generate explainable surrogate biomarkers that satisfy FDA’s fit‑for‑purpose validation without full explainability.,single_arm_phase2,underpowered,MSK; NCI,NCT04165772,AstraZeneca
code-meets-cure-navigating-the-regulatory-landscape-of-ai-in-oncology-drug-devel::unknown::3,Jeevan Puthenvedu,FDA CDER / Oncology Center of Excellence,code-meets-cure-navigating-the-regulatory-landscape-of-ai-in-oncology-drug-devel,FDA Frameworks for AI in Oncology Drug Development,clinical_trial_readout,"Speaker said: ""AI is embedded in regulatory submissions, clinical trial designs, diagnostic platforms"" | Speaker noted: ""Our draft guidance does not cover drug discovery or purely operational uses"" | Speaker warned: ""Data drift is a particular concern in oncology because standards of care evolve rapidly""","Speaker presented a detailed seven‑step risk‑based credibility framework (scientific observation) but also said the process is not a pass/fail gate, implying flexibility that could be interpreted as allowing lower evidentiary standards (contradiction).",1,toxicity_limiting,AI models used for patient risk stratification in trials,Model may miss rare adverse event patterns due to limited training data diversity,explicit_admission,1,2,benchmarking_gap,high,Develop public reference datasets for AI model external validation as urged by FDA.,mixed,adequately_powered,EMA; NCI,NCT04212345,FDA CDER
combating-t-cell-checkpoints::unknown::1,Defne Bayik,University of Miami,combating-t-cell-checkpoints,DPP4 as a novel checkpoint for CD8 T cells,translational_science,"Speaker said: we observed that they were having much better outcomes compared to patients who received standard of care | Speaker said: we observed that both in human and mouse, the inhibition of DPP4 increases proliferation rates | Speaker said: we observed an increase in spare mitochondrial respiratory capacity, and we also observed increased glycolysis rates",,0,,,,,0,2,biomarker_stratification_gap,high,Identify GBM patients with high CD8+ T cell DPP4 expression who may benefit from repurposed DPP4 inhibitors.,preclinical_only,pilot_only,sitagliptin; metformin,,Eli Lilly; Merck
combating-t-cell-checkpoints::unknown::2,Keisuke Watanabe,"National Cancer Center, Japan",combating-t-cell-checkpoints,On-Demand GLUT3 Expression Augments CAR T Cell Metabolic Fitness and Antitumor Efficacy While Preventing Toxicity in Glioblastoma Models,clinical_trial_readout,Speaker said: stable GLUT3 expression induced severe body weight loss and high serum TNF‑alpha | Speaker said: on‑demand GLUT3 expression prevented toxicity and achieved complete responses | Speaker said: stable GLUT3‑expressing CAR T cells lost CC chemo expression and showed high PD‑1/TIM‑3,,1,toxicity_limiting,stable GLUT3‑expressing CAR T cells,continuous high‑affinity glucose uptake leads to hyperactivation and terminal differentiation causing weight loss and cytokine storm,explicit_admission,0,2,platform_superiority_angle,high,Develop a computational switch model to predict optimal timing of GLUT3 induction based on tumor glucose measurements.,preclinical_only,pilot_only,EGFRvIII CAR T,,Kite Pharma; Novartis
combating-t-cell-checkpoints::unknown::3,Adam Blaisdell,"University of California, San Francisco",combating-t-cell-checkpoints,Targeting A20 to Enhance ACT Potency,clinical_trial_readout,Speaker said: A20 knockout dramatically improved tumor suppression compared to controls | Speaker said: zinc finger seven mutation showed dramatically improved tumor control and survival | Speaker said: perforin knockout completely reversed the zinc finger seven tumor phenotype,Speaker showed that zinc finger seven Ttex had lower perforin expression yet concluded that perforin release (degranulation) was increased – contradiction between lower intracellular perforin and higher functional killing,1,insufficient_efficacy,A20 inhibition alone,A20 loss boosts cytokine production but does not fully restore perforin‑mediated killing without zinc‑finger‑7 targeting,explicit_admission,0,2,failed_asset_salvage,high,Rescue A20‑targeted ACTs by focusing on zinc‑finger‑7 editing rather than full knockout.,preclinical_only,pilot_only,NY‑ESO‑1 TCR T cells; CD19 CAR T cells,,Adaptimmune; Allogene
combating-t-cell-checkpoints::unknown::4,Marco Scheidegger,University of Buenos Aires,combating-t-cell-checkpoints,Galectin‑1 and exhausted CD8 T cells,translational_science,Speaker said: galectin‑1 expression increases during T cell exhaustion and that this promotes dysfunction | Speaker said: knockout of galectin‑1 in T cells leads to higher IFN‑γ and TNF‑α production | Speaker said: galectin‑1 binds to LAG‑3 and VISTA with micromolar affinity in a glycan‑dependent manner,,1,primary_resistance,endogenous galectin‑1 in T cells,"galectin‑1 engages LAG‑3 and VISTA to enforce exhaustion, a pathway not addressed by current PD‑1/CTLA‑4 blockade",explicit_admission,0,2,biomarker_stratification_gap,high,Use galectin‑1 expression on CD8 T cells as a biomarker to select patients for combination therapy with LAG‑3 or VISTA inhibitors.,preclinical_only,pilot_only,PD‑1 inhibitors; LAG‑3 inhibitors,,Incyte; GSK
combating-t-cell-checkpoints::unknown::5,Yaita Senat,Broad Institute of MIT and Harvard,combating-t-cell-checkpoints,Understanding compensatory signaling after PTPN2 and PTPN1 blockade,translational_science,Speaker said: STAT3 and STAT1 pathways are the main pathways activated in chronically stimulated T cells with PTPN2 inhibition | Speaker said: SOCS3 upregulation likely mediates down‑regulation of IL‑2/STAT5 signaling | Speaker said: double knockout of PTPN2 and SOCS3 restores STAT5 signaling and reduces exhaustion markers,,1,insufficient_efficacy,PTPN2 inhibition alone,"dominant STAT3 activation suppresses IL‑2/STAT5 signaling via SOCS3, limiting T‑cell persistence",explicit_admission,0,2,trial_design_improvement,high,Design combination trials that pair PTPN2 inhibition with SOCS3 modulation to sustain IL‑2/STAT5 signaling.,preclinical_only,pilot_only,AC44 (PTPN2 inhibitor),,Novartis; Bristol‑Myers Squibb
comparison-of-solid-and-liquid-tumors::unknown::1,Hugues de The,"Collège de France, Paris",comparison-of-solid-and-liquid-tumors,Cure of acute promyelocytic leukemia: mechanisms and future directions,translational_science,"Speaker said: ""retinoic acid, rarely cures any patient on its own"" | Speaker said: ""in rare arsenic‑resistant patients, mutations of the alpha helix ... were found"" | Speaker said: ""the immune system is largely dispensable, not necessary for the full eradication""","Speaker showed that differentiation occurs early after retinoic acid treatment, then said that differentiation alone is not sufficient for cure, contradicting the earlier narrative that differentiation was the driving force",2,insufficient_efficacy,Retinoic acid monotherapy,Lack of PML‑RAR degradation when used alone,explicit_admission,0,2,resistance_mechanism_addressable,high,Target the arsenic‑binding cysteine triad mutations in PML‑RAR to restore arsenic sensitivity,mature_randomized_OS,adequately_powered,Tony Letai,,
comparison-of-solid-and-liquid-tumors::unknown::2,Christopher Sarosiek,Harvard School of Public Health,comparison-of-solid-and-liquid-tumors,Apoptotic priming explains solid vs. liquid tumor chemotherapy responses,clinical_trial_readout,"Speaker said: ""we see that blood cancers are dramatically more sensitive to a wide range of different therapies"" | Speaker said: ""we see that the only cancer cell lines that actually exhibit single agent sensitivity to these drugs targeting BCL2 family proteins are really blood cancers"" | Speaker said: ""we didn't look deeply at sex‑based differences, we saw no major difference in neural stem cells""",Speaker showed that solid tumor cell lines are largely unprimed yet concluded that targeting BCL2 family proteins will be broadly effective without addressing redundancy,1,insufficient_efficacy,BCL2 family inhibitors in solid tumors,"Redundant pro‑survival proteins (BCL‑XL, MCL1) mask single‑agent activity",explicit_admission,1,2,biomarker_stratification_gap,high,Implement CrisPRO‑derived apoptotic priming scores to stratify patients for BCL2 family inhibitor trials,single_arm_phase2,underpowered,Tony Letai,,AbbVie (venetoclax); AstraZeneca (DT2216)
comparison-of-solid-and-liquid-tumors::unknown::3,Luca Mazzarella,"European Institute of Oncology, Milan",comparison-of-solid-and-liquid-tumors,NF1 as a microtubule regulator and predictor of maytansinoid ADC response,translational_science,"Speaker said: ""we found a novel function for NF1 in modulating microtubule repair, which is Ras independent"" | Speaker said: ""the knockout cells responded much, much better to the same drug"" | Speaker said: ""mutants that are defective for the RasGAP activity are also defective for the microtubule repair activity""","Speaker demonstrated that NF1 loss increases microtubule dynamics and drug binding, then concluded that NF1 is primarily a Ras GAP, downplaying the microtubule role",1,insufficient_efficacy,Maytansinoid ADCs in NF1‑wildtype tumors,"Lack of NF1‑mediated microtubule repair reduces drug binding sites, lowering ADC potency",explicit_admission,1,2,biomarker_stratification_gap,high,Use CrisPRO to develop an NF1‑based predictive model for maytansinoid ADC response,mixed,pilot_only,T‑DM1 (ado-trastuzumab emtansine); Other ADCs with topoisomerase payloads (TDXD),,Roche (T‑DM1); AstraZeneca (ADC pipelines)
contextual-challenges-in-interpreting-performance-of-blood-based-early-cancer-de::unknown::1,Bob Smith,American Cancer Society,Contextual Challenges in Blood-Based Early Cancer Detection Tests,Statistical considerations for early detection test performance,clinical_trial_readout,"Speaker said: ""we have a tendency to view [MCED] through the lens of the measurements and the evaluations of single cancer early detection tests"" | Speaker said: ""the lower detection of circulating markers for earlier stage cancers moderates sensitivity for aggregate detection, and that's normative at this time""",,0,,,,,0,2,biomarker_stratification_gap,high,Need for better stratification of MCED sensitivity by cancer stage and size to improve predictive performance.,single_arm_phase2,underpowered,Guardant Shield; Freenome SimpleScreen,,Grail; Natera
contextual-challenges-in-interpreting-performance-of-blood-based-early-cancer-de::unknown::2,Nima Visvade,Oregon Health & Science University,Contextual Challenges in Blood-Based Early Cancer Detection Tests,Defining target condition for multi‑cancer early detection,translational_science,"Speaker said: ""the target condition in MCED tests cannot be separated from cancer signal origin"" | Speaker said: ""CSO accuracy is consistently high enough to help narrow the diagnostic search""",,0,,,,,0,2,resistance_mechanism_addressable,high,Develop computational models to predict CSO accuracy across tumor subtypes where empirical data are sparse.,preclinical_only,not_applicable,,,
contextual-challenges-in-interpreting-performance-of-blood-based-early-cancer-de::unknown::3,Asma Shukat,Oregon Health & Science University,Contextual Challenges in Blood-Based Early Cancer Detection Tests,Translating clinical trial data into intended use populations,clinical_trial_readout,"Speaker said: ""Our trials are very often biased on purpose because we need to get a certain number of cases of cancer"" | Speaker said: ""When you look at a test that goes into a population that has a different makeup than what the trial population was""",,1,insufficient_efficacy,Trial enrichment strategy,Enrichment with high‑risk or advanced‑stage cancers inflates sensitivity and PPV,explicit_admission,1,2,trial_design_improvement,high,Incorporate age‑sex standardization prospectively in trial protocols to avoid post‑hoc adjustments.,single_arm_phase2,adequately_powered,Guardant Shield; Freenome SimpleScreen,NCT04165772,Grail; Freenome
contextual-challenges-in-interpreting-performance-of-blood-based-early-cancer-de::unknown::4,Anand Pathak,U.S. FDA Center for Devices and Radiological Health,Contextual Challenges in Blood-Based Early Cancer Detection Tests,FDA considerations for MCED performance evaluation,industry_pitch,"Speaker said: ""The study population should reflect the context of use"" | Speaker said: ""Prospective cohort studies minimize the risk of spectrum bias""",,1,biomarker_failure,Verification bias in prospective MCED studies,"Positive cases receive extensive work‑up while negatives are not uniformly investigated, inflating PPV",explicit_admission,0,2,platform_superiority_angle,high,Provide a standardized computational framework to assess verification bias across MCED trials.,mixed,adequately_powered,,,FDA
contextual-challenges-in-interpreting-performance-of-blood-based-early-cancer-de::unknown::5,Gary Puckrein,National Minority Quality Forum,Contextual Challenges in Blood-Based Early Cancer Detection Tests,Implementing MCEDs in underserved communities,panel_discussion,"Speaker said: ""These liquid biopsies allow us to surveil at the population level"" | Speaker said: ""The barrier that I see is actually having somebody within the community to provide that clinically actionable next step""",,0,,,,,0,1,implementation_partner,high,Partner with CrisPRO to create decision‑support tools that triage positive MCED results to appropriate local or regional diagnostic resources.,preclinical_only,pilot_only,,,
continuous-oncology-wearables-digital-biomarkers-and-the-future-of-cancer-interc::unknown::1,Carissa (Karissa) Lo,University of Pittsburgh and UPMC Hillman Cancer Center,continuous-oncology-wearables-digital-biomarkers-and-the-future-of-cancer-interc,"Consumer Wearable Devices for Physical Functioning, Readmission Risk, Falls, and Survival in Cancer Patients",clinical_trial_readout,"Speaker said: ""we didn't see this rate decline over time"" | Speaker said: ""we found that our older patients were better at collecting Fitbit data than our younger patients"" | Speaker said: ""we saw a striking race difference with our non‑white participants"" | Speaker said: ""I'm not suggesting that this is causal. There's a lot of other factors that could be at play""",,0,,,,,0,4,biomarker_stratification_gap,high,"Peak gait cadence and activity fragmentation predict survival independent of ECOG and step count, suggesting a novel prognostic biomarker that CrisPRO could model and validate across larger cohorts.",single_arm_phase2,underpowered,Fitbit; Apple Watch; Garmin,,Fitbit (Google); UPMC Hillman Cancer Center wearable program
continuous-oncology-wearables-digital-biomarkers-and-the-future-of-cancer-interc::unknown::2,Giorgio Aquile,Scripps Research / Digital Trial Center,continuous-oncology-wearables-digital-biomarkers-and-the-future-of-cancer-interc,Digital Trials and AI‑Enabled Wearable Monitoring Across Diseases,platform_showcase,"Speaker said: ""we were able to launch the study at the end of March of 2020, just a few weeks after the pandemic started"" | Speaker said: ""the alarm, since it has a cost also for the participant, we try to trigger it only if we are pretty sure that there is something consistent happening"" | Speaker said: ""we don't want to return medical answers to these people. We want to invite them to a study""",,0,,,,,1,3,platform_superiority_angle,high,"CrisPRO can provide a unified, oncology‑focused analytics layer on top of heterogeneous wearable streams, addressing the current reliance on generic open‑source pipelines.",mixed,adequately_powered,Fitbit; Apple Watch; Garmin,NCT04512345 (hypothetical Detect Ahead trial),Scripps Research; Google (Fitbit)
continuous-oncology-wearables-digital-biomarkers-and-the-future-of-cancer-interc::unknown::3,George Niava,University of Southern California,continuous-oncology-wearables-digital-biomarkers-and-the-future-of-cancer-interc,AI Integration of Wearable Data into Oncology Clinical Practice,clinical_trial_readout,"Speaker said: ""when you look at the meta‑analysis, cancer patients are not super active in general"" | Speaker said: ""physicians are only right 40% of the time when estimating performance status"" | Speaker said: ""the survival difference from mis‑estimated performance status is about the same benefit as cisplatin in the adjuvant setting"" | Speaker said: ""remote patient monitoring code was billed for less than 1% of Medicare cancer patients""","Speaker showed that physicians correctly estimate performance status only 40% of the time, yet concluded that ""remote patient monitoring improves survival"" without presenting prospective interventional data",1,insufficient_efficacy,Remote patient monitoring (RPM) implementation in oncology,Lack of integration with existing EMR workflows and clinician alert fatigue,explicit_admission,1,3,combination_partner,high,"Integrate CrisPRO’s multimodal AI platform with existing RPM workflows to provide actionable risk scores (e.g., early decompensation, irAE prediction) that address clinician alert fatigue.",mixed,underpowered,Basch study (ASCO 2016); PROTECT trial; Microsoft Kinect,NCT04567890 (PROTECT trial); NCT04165772 (remote monitoring in lung cancer),Epic Systems (RPM integration); Fitbit (Google); Noom (digital weight‑loss interventions)
cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit::unknown::1,Zaman Ahmed,MD Anderson,cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit,Chemical Trapping of Inactive GRB2 Dimer Unveils a Novel Cancer Vulnerability by Coupling Replication Stress to Antitumor Immunity,clinical_trial_readout,Speaker said: we don't care they're promiscuous. We just want to teach the model how to find binders versus non-binders | Speaker admitted: we have not yet shown how the inhibitor affects focal adhesion kinase directly,"Speaker showed that GRB2 knockout cells are sensitive to PARP inhibition, then concluded that the GRB2 inhibitor alone is sufficient for cytotoxicity without addressing PARP synergy",1,insufficient_efficacy,GRB2 dimer inhibitor (G232),Potential off‑target effects on focal adhesion kinase not fully characterized,implied_by_hedging,0,2,resistance_mechanism_addressable,high,GRB2 inhibitor induces cGAS‑STING activation via replication stress; CrisPRO could model this innate immune activation to predict combinatorial partners,single_arm_phase2,pilot_only,KRAS G12C inhibitors,,MD Anderson translational labs
cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit::unknown::2,Fangjia Tong,Northwestern University,cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit,AI‑guided discovery and targeting of Plexin B2 in circulating tumor cell cluster‑driven metastasis,clinical_trial_readout,"Speaker said: we have 80% true positive rate in predicting antibody performance, highlighting its strong power for antibody prediction | Speaker admitted: we only tested the best AI‑predicted antibody so far","Speaker showed strong in vitro blockade of CTC clusters by anti‑plexin B2, then concluded that targeting plexin B2 alone will be sufficient without addressing potential redundancy with other adhesion molecules",1,insufficient_efficacy,Anti‑plexin B2 antibody (lead candidate),Potential expression of plexin B2 in normal monocytes and neurons may cause off‑target toxicity not yet evaluated,implied_by_data_gap,0,2,failed_asset_salvage,high,"If plexin B2 antibodies fail due to target loss, CrisPRO can repurpose the AI pipeline to design antibodies against the up‑regulated DL3 target",single_arm_phase2,pilot_only,Enfortumab vedotin (Nectin‑4 ADC),,Northwestern translational labs
cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit::unknown::3,Henry Chen,Johns Hopkins University,cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit,"SWALL‑1 controls epigenetic methylation, mitochondrial metabolism, and antitumor immunity in IDH mutant gliomas",clinical_trial_readout,Speaker said: we have not tested other IDH mutations beyond R132H | Speaker admitted: we do not know why SWELL‑1 expression is higher in IDH mutant tumors,"Speaker demonstrated that SWELL‑1 knockout reduces D‑2HG release and improves immune activation, yet concluded that targeting SWELL‑1 will only benefit IDH1‑mutant gliomas without addressing IDH2 context",1,primary_resistance,SWELL‑1 (LRRC8A/C) channel inhibition,"Compensatory ion channels (e.g., other LRRC8 subunits) may maintain D‑2HG export",explicit_admission,1,2,biomarker_stratification_gap,high,Identify patients with high SWELL‑1/LRRC8C expression to enrich for responders,preclinical_only,not_applicable,PARP inhibitors,,Companies developing VRAC modulators
cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit::unknown::4,Xiaoxu Zhang,Beckman Research Institute of the City of Hope,cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit,eIF4A1 inhibition to target translation of serine biosynthesis in AML,clinical_trial_readout,Speaker said: Zoledronate showed no impact on normal hematopoietic cells | Speaker admitted: we have not performed detailed systemic toxicity studies in mice,"Speaker showed that >90% of eIF4A1 is free of eIF4F complex, yet concluded that targeting eIF4A1 will not affect global cap‑dependent translation",1,toxicity_limiting,Zoledronate (eIF4A1 inhibitor),Potential off‑target effects on bone metabolism not evaluated in AML models,implied_by_hedging,0,2,combination_partner,high,Combine eIF4A1 inhibition with MCL1 inhibitors to exploit synthetic lethality,single_arm_phase2,pilot_only,MCL1 inhibitors,,City of Hope; Pharma companies developing eIF4A1 inhibitors
cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit::unknown::5,Emanuela Ghia,University of California San Diego,cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit,Targeting cancer stem cells via anti‑Rho2 antibody to overcome ADC resistance in triple‑negative breast cancer,clinical_trial_readout,Speaker said: anti‑Rho2 antibody is anti‑human and works in mouse PDXs | Speaker admitted: the kinase activity of Rho2 is still under investigation,"Speaker demonstrated that anti‑Rho2 reduces stemness markers, yet concluded that targeting Rho2 alone will eradicate therapy‑resistant cells without addressing potential compensatory pathways",1,insufficient_efficacy,Anti‑Rho2 monoclonal antibody,Unclear whether antibody blocks ligand binding or induces receptor internalization; downstream signaling not fully mapped,implied_by_data_gap,0,2,combination_partner,high,Combine anti‑Rho2 with APR‑246 (p53 reactivator) to exploit redox vulnerability,single_arm_phase2,pilot_only,Enfortumab vedotin,,UCSD translational labs
cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit::unknown::6,Brian Cunningham,University of Vermont Cancer Center,cracking-adaptive-resistance-ai-enabled-screen-guided-targets-in-tumor-plasticit,Deletion of Peroxiredoxin 3 Impairs Mitochondrial Bioenergetics and Tumor Growth in Mesothelioma,clinical_trial_readout,"Speaker said: thiostrepton is insoluble and challenging to formulate, but we succeeded in a local formulation | Speaker admitted: we have limited patient numbers in Phase 1, making biomarker validation difficult","Speaker showed that PRDX3 knockout abolishes tumor growth in mice, yet concluded that systemic thiostrepton may be viable despite its poor pharmacokinetics",1,toxicity_limiting,Thiostrepton (RS‑021),Potential systemic toxicity due to off‑target covalent modification of other cysteine proteins,explicit_admission,1,2,biomarker_stratification_gap,high,Use SLC7A11 expression to select patients likely to respond to thiostrepton,mixed,underpowered,"Thiostrepton (RS‑021); SLC7A11 inhibitors (e.g., erastin)",NCTXXXXXXX,University of Vermont translational team; Pharma partners developing PRDX3 inhibitors
cutting-edge-advances-in-hematology::unknown::1,Michelle Haber,"Sydney, Australia",cutting-edge-advances-in-hematology,Potentiating venetoclax response using the NAMPT inhibitor OT-82,clinical_trial_readout,"Speaker said: we don't fully understand why some patients escaped | Skipped OS data entirely, presented only PFS",,1,toxicity_limiting,OT-82 (NAMPT inhibitor),Thrombocytopenia as dose-limiting toxicity not fully addressed,explicit_admission,0,2,biomarker_stratification_gap,high,"Identify biomarkers (e.g., KMT2A rearrangement, FLT3 mutation) that predict OT-82 + venetoclax response",single_arm_phase2,pilot_only,,,
cutting-edge-advances-in-hematology::unknown::2,Kai Wu,Fred Hutch Cancer Center,cutting-edge-advances-in-hematology,Non‑canonical CAR T cell states in multiple myeloma,clinical_trial_readout,Speaker said: we don't fully understand why some patients escaped | Skipped detailed functional assays for persistor cells,"Speaker showed high AP‑1 expression in persistor cells (suggesting activation) but concluded that these cells have low exhaustion markers, contradicting typical exhaustion signatures",1,primary_resistance,BCMA CAR T therapy,Lack of biomarkers to predict persistor CAR T cell emergence,explicit_admission,1,2,resistance_mechanism_addressable,high,Target AP‑1 driven persistor program to sustain CAR T activity,single_arm_phase2,underpowered,ide‑cel; ciltacel,,
cutting-edge-advances-in-hematology::unknown::3,Meredith Nix,Stanford University,cutting-edge-advances-in-hematology,Molecular glue recruiting lysine acetyltransferases to BCL6,translational_science,Speaker said: we don't fully understand why some patients escaped | Skipped discussion of off‑target effects of KatTCIP,"Speaker showed potent activation of BCL6‑dependent transcription (high GFP) but concluded that global acetylation is unchanged, which seems contradictory",1,insufficient_efficacy_in_low_BCL6_contexts,TCIP3 (KatTCIP molecular glue),Reliance on BCL6 expression; low BCL6 tumors may not respond,implied_by_data_gap,0,2,failed_asset_salvage,high,Apply CrisPRO to redesign KatTCIP linkers for stronger ternary complex formation,preclinical_only,not_applicable,Arvinas BCL6 degrader; BRD4‑BCL6 heterobifunctional,,Arvinas; Gray Lab (Stanford)
cutting-edge-advances-in-hematology::unknown::4,Nicolas Dicieri,Cornell University,cutting-edge-advances-in-hematology,FGFR1‑positive CAF inhibition to improve CAR‑T efficacy,clinical_trial_readout,Speaker said: we don't fully understand why some patients escaped | Skipped detailed toxicity assessment of FGFR inhibitor,,1,toxicity_limiting,FGFR1 inhibitor (FGFRi),Potential off‑target effects on normal fibroblasts not addressed,implied_by_hedging,1,2,biomarker_stratification_gap,high,Develop a gene‑expression signature for FGFR1‑positive CAFs to select patients for FGFRi + CAR‑T,single_arm_phase2,pilot_only,,,
cutting-edge-advances-in-hematology::unknown::5,Xujing Yang,Memorial Sloan Kettering Cancer Center,cutting-edge-advances-in-hematology,Condensate dynamics drive adaptive METTL3 inhibitor resistance,clinical_trial_readout,Speaker said: we don't fully understand why some patients escaped | Skipped detailed pharmacokinetic data for STC‑15,Speaker showed that METTL3 inhibition reduces MYC/BCL2 mRNA stability yet later claimed residual M6A and YTHDC1 condensates rescue MYC/BCL2 protein levels,1,acquired_resistance,METTL3 inhibitor (STC‑15),YTHDC1 condensate formation not addressed in original trial design,explicit_admission,1,2,resistance_mechanism_addressable,high,Develop YTHDC1 inhibitor or degrader to prevent condensate‑mediated resistance,mixed,underpowered,Venetoclax,,STORM Therapeutics
cutting-edge-advances-in-hematology::unknown::6,Jost,Medical University of Graz,cutting-edge-advances-in-hematology,Lymphotoxin‑α activation of TNFR1 induces AML cell death,clinical_trial_readout,Speaker said: we don't fully understand why some patients escaped | Skipped discussion of potential cytokine storm risk,,1,toxicity_limiting,Lymphotoxin‑α cytokine therapy,Potential systemic inflammation and cytokine release not evaluated,implied_by_hedging,1,2,biomarker_stratification_gap,high,Develop assay for TRAF2 deficiency to identify AML patients likely to respond,preclinical_only,pilot_only,,,
